id;reference_type;approver_status;approval;current_status;next_status;eff_date;created_at;updated_at;version
1;deposit Investment;THX Steel;mon;Computer ;Pakistan;2023-03-09T12:30:29;2023-03-08T19:13:25;2023-03-09T17:05:00;36777
2;magenta indexing Gloves;Ball;Dyn;SCSI;Small Spo;2023-03-09T07:57:37;2023-03-09T05:58:18;2023-03-09T07:01:52;35273
3;olive pink;Credit Ca;Cha;Bedfordsh;Auto Awes;2023-03-08T20:16:20;2023-03-09T15:01:55;2023-03-09T11:20:26;99258
4;deposit Keyboard Refined;Colorado;glo;Mayotte;blue;2023-03-09T17:20:28;2023-03-09T13:43:09;2023-03-09T08:52:08;9405
5;Rustic;blockchai;Mis;Awesome s;Fort;2023-03-08T20:47:19;2023-03-08T19:49:18;2023-03-09T03:50:45;85311
6;one-to-one National;Walk;Isl;Sausages;pixel tra;2023-03-09T08:48:12;2023-03-08T21:14:19;2023-03-09T14:55:17;66947
7;Borders drive Fuerte;interface;rea;Rubber ex;virtual;2023-03-09T01:46:16;2023-03-09T13:22:29;2023-03-08T20:06:56;11387
8;customized;digital B;ove;withdrawa;strategic;2023-03-09T05:39:27;2023-03-09T09:17:20;2023-03-09T09:28:49;25093
9;Canada;Shoes;Lea;Tala;Cambridge;2023-03-09T04:13:49;2023-03-09T01:26:44;2023-03-09T16:53:50;82419
10;invoice Chicken;monetize ;Pla;Steel mob;hacking;2023-03-09T06:18:50;2023-03-08T19:24:57;2023-03-09T16:14:18;67257
