id;name;created_at;updated_at;end_date;version;eff_date
1;Handcrafted Indiana Knoll;2023-03-09T08:50:29;2023-03-09T09:58:34;2023-03-09T12:10:14;59347;2023-03-08T21:00:26
2;orange;2023-03-09T12:53:05;2023-03-09T17:26:17;2023-03-09T13:13:38;83374;2023-03-08T21:57:45
3;override;2023-03-08T21:29:03;2023-03-09T15:16:29;2023-03-09T13:58:47;1669;2023-03-09T02:19:14
4;Chief Mozambique;2023-03-09T17:24:21;2023-03-09T06:58:17;2023-03-09T03:00:51;53055;2023-03-09T01:53:37
5;Enhanced Quality;2023-03-09T00:02:26;2023-03-08T20:17:35;2023-03-09T09:10:53;28678;2023-03-09T14:30:23
6;Consultant implement Avon;2023-03-09T06:25:14;2023-03-09T12:00:28;2023-03-09T03:55:32;70155;2023-03-09T06:38:39
7;Expanded;2023-03-09T14:58:11;2023-03-08T18:35:09;2023-03-09T10:02:12;83717;2023-03-09T13:02:12
8;Tasty;2023-03-08T18:13:56;2023-03-09T09:02:59;2023-03-08T19:49:16;44220;2023-03-09T13:48:24
9;Steel modular value-added;2023-03-09T08:21:39;2023-03-09T03:43:47;2023-03-09T15:38:47;64618;2023-03-08T23:34:54
10;Sleek platforms;2023-03-09T06:18:09;2023-03-09T10:06:12;2023-03-09T04:38:06;15613;2023-03-09T12:51:11
