id;amount;startdate;enddate;description;createdat;updatedat
1;80073;2023-03-09T15:17:21;2023-03-08T22:49:26;Plastic;2023-03-08T21:53:32;2023-03-09T08:11:45
2;61676;2023-03-09T10:30:26;2023-03-09T13:32:48;Fork Customer;2023-03-09T16:45:29;2023-03-09T15:09:38
3;60249;2023-03-09T00:41:33;2023-03-09T07:56:57;input;2023-03-09T17:04:03;2023-03-08T19:28:46
4;46229;2023-03-08T20:51:10;2023-03-08T22:26:10;Buckinghamshire;2023-03-09T03:55:24;2023-03-09T16:12:57
5;29717;2023-03-09T15:28:53;2023-03-09T05:07:40;Dynamic;2023-03-09T06:04:04;2023-03-09T00:57:44
6;21813;2023-03-09T07:02:03;2023-03-09T03:21:24;reboot Salad;2023-03-09T02:56:33;2023-03-09T10:01:31
7;28662;2023-03-09T03:59:07;2023-03-09T09:26:30;Soap programming;2023-03-09T02:18:36;2023-03-09T03:49:16
8;73560;2023-03-09T06:14:11;2023-03-08T21:16:57;bluetooth Fresh;2023-03-09T07:57:57;2023-03-09T02:52:37
9;28762;2023-03-09T01:06:28;2023-03-09T04:04:43;relationships;2023-03-08T20:44:19;2023-03-08T22:31:38
10;3230;2023-03-09T01:22:45;2023-03-09T03:44:29;Metal;2023-03-08T21:39:23;2023-03-08T23:27:22
