id;claimtype;daterangerequired;descriptionrequired;parentid;createdat;updatedat
1;Senior;false;true;88009;2023-03-09T14:20:23;2023-03-09T15:27:23
2;deploy Savings Intelligent;true;true;40289;2023-03-09T09:56:36;2023-03-09T09:35:08
3;Squares Quality-focused deposit;false;false;58622;2023-03-08T17:41:33;2023-03-09T09:08:16
4;global deploy;true;true;64466;2023-03-09T02:22:04;2023-03-09T03:18:56
5;Stand-alone Cambridgeshire Bacon;true;true;34891;2023-03-09T08:11:12;2023-03-09T02:13:03
6;yellow;false;true;64697;2023-03-09T05:18:57;2023-03-08T22:26:21
7;Electronics;false;true;629;2023-03-09T10:48:40;2023-03-08T20:41:23
8;Florida Cuba;false;false;53363;2023-03-09T07:03:08;2023-03-09T04:47:38
9;deposit;true;false;69186;2023-03-08T18:32:02;2023-03-08T18:23:09
10;leading;true;false;78403;2023-03-09T04:07:24;2023-03-09T05:34:38
