id;amount;isdeleted;createdat;updatedat;benefit_id;employeecompensation_id
1;1637;false;2023-03-08T21:11:01;2023-03-08T19:00:20;1;1
2;92433;true;2023-03-09T04:24:07;2023-03-08T23:35:35;2;2
3;30950;true;2023-03-09T12:24:10;2023-03-09T01:49:08;3;3
4;51715;true;2023-03-09T01:33:23;2023-03-09T08:40:34;4;4
5;1494;true;2023-03-09T10:04:09;2023-03-09T08:22:12;5;5
6;82463;true;2023-03-09T02:39:28;2023-03-09T13:26:34;6;6
7;3759;false;2023-03-09T11:44:54;2023-03-08T22:01:31;7;7
8;79062;false;2023-03-09T09:04:45;2023-03-09T02:45:35;8;8
9;20677;true;2023-03-09T07:24:54;2023-03-08T21:21:57;9;9
10;16651;true;2023-03-09T15:23:56;2023-03-09T01:04:31;10;10
