id;name;jhi_group;intvalue;stringvalue;decimalvalue;jsonvalue;createdat;updatedat
1;Loan Towels leading;Hawaii;93624;end-to-end Vermont orchid;29455;Orchestrator Research;2023-03-09T09:20:37;2023-03-09T00:27:21
2;Grocery Practical;calculate;4400;backing;38745;wireless;2023-03-09T04:14:14;2023-03-09T12:17:46
3;Wooden Engineer Tuna;Rest optical;36292;Tactics Human Dakota;45958;Grocery National Mississippi;2023-03-09T17:11:14;2023-03-09T03:45:27
4;Marketing firmware orange;withdrawal yellow;59648;orchid neural Burundi;99263;sensor;2023-03-08T20:22:25;2023-03-09T12:42:19
5;Belarus foreground Florida;programming;87533;Islands,;37503;red;2023-03-09T12:51:05;2023-03-09T12:29:47
6;bandwidth;parsing haptic;67241;Bedfordshire Senior Optimized;50639;Lev;2023-03-09T06:53:48;2023-03-09T16:26:31
7;actuating Object-based;Dollar bandwidth;64554;matrices Beauty;59118;Checking;2023-03-09T10:52:03;2023-03-09T02:31:58
8;Kenya regional;improvement Agent Division;62299;payment;56673;Ball transmitting;2023-03-08T21:33:37;2023-03-08T23:24:56
9;Salad invoice Wooden;model front-end deposit;34202;payment Virgin;83003;invoice Account;2023-03-09T11:11:05;2023-03-09T16:49:43
10;indigo Cambridgeshire Global;digital Product;43913;UAE;99521;compress Baby Hungary;2023-03-09T11:58:20;2023-03-08T20:50:31
