id;name;jhi_group;int_value;string_value;double_value;date_value;json_value;created_at;updated_at;deleted_at;version
1;CFA;microchip;43604;Avon Dong;63074;2023-03-09T12:47:53;red generating AGP;2023-03-09T14:10:13;2023-03-09T06:50:41;2023-03-09T03:09:44;5106
2;platforms Cotton Associate;Cambridgeshire;58948;connect;86871;2023-03-09T03:46:23;parallelism;2023-03-09T09:57:48;2023-03-09T14:23:14;2023-03-09T03:24:30;67530
3;cyan Generic;salmon Gloves;95975;Customer Virginia deposit;70084;2023-03-09T13:14:13;Small ADP Automated;2023-03-08T19:10:00;2023-03-08T21:46:21;2023-03-09T01:51:58;35193
4;Expressway;Tala Markets;4285;navigate facilitate;56331;2023-03-09T05:03:39;real-time deposit;2023-03-08T22:05:26;2023-03-09T14:22:37;2023-03-09T06:56:06;31960
5;Oregon Markets Cotton;Officer Chief;68489;North niches calculate;14897;2023-03-09T15:42:31;solutions Indiana compressing;2023-03-09T14:13:59;2023-03-09T15:42:18;2023-03-09T00:34:53;53447
6;optical innovative Granite;backing;87231;copying;3733;2023-03-09T13:13:58;Handmade productivity;2023-03-09T10:45:52;2023-03-09T10:15:20;2023-03-09T05:20:08;40624
7;Legacy Rubber;invoice copy Corporate;37769;Planner;47254;2023-03-09T05:43:50;Savings;2023-03-09T17:20:52;2023-03-09T09:52:45;2023-03-08T18:35:30;69478
8;Strategist Assurance Solutions;vertical;35330;Nepal Car;77947;2023-03-09T05:57:08;Kentucky;2023-03-09T02:20:03;2023-03-09T13:55:45;2023-03-09T06:59:21;87275
9;attitude Optional Account;visualize;86684;Sausages;48295;2023-03-09T00:24:15;solution;2023-03-09T10:20:55;2023-03-08T22:41:56;2023-03-08T20:44:25;68311
10;wireless;program Coordinator connecting;1976;programming deposit Sports;49690;2023-03-09T08:06:29;Refined Gloves;2023-03-09T01:23:59;2023-03-08T20:15:00;2023-03-09T07:05:31;53574
