id;isdeleted;createdat;updatedat;type;address_id;employee_id
1;true;2023-03-09T07:37:02;2023-03-09T05:56:20;heuristic;1;1
2;true;2023-03-08T23:41:59;2023-03-08T21:20:29;initiativ;2;2
3;false;2023-03-09T11:29:07;2023-03-09T06:26:16;Fresh pix;3;3
4;false;2023-03-08T21:43:16;2023-03-09T11:36:20;XSS;4;4
5;false;2023-03-09T10:33:19;2023-03-08T19:54:48;Pakistan ;5;5
6;true;2023-03-09T07:00:14;2023-03-08T20:36:54;revolutio;6;6
7;false;2023-03-08T21:37:22;2023-03-09T17:07:51;Serbian C;7;7
8;true;2023-03-08T20:31:25;2023-03-09T07:41:16;Metal;8;8
9;true;2023-03-09T04:19:21;2023-03-09T09:26:15;SCSI;9;9
10;false;2023-03-08T20:09:02;2023-03-09T01:26:31;magenta D;10;10
