id;createdat;updatedat;document_id;employee_id
1;2023-03-09T06:01:35;2023-03-08T19:41:06;1;1
2;2023-03-08T18:05:54;2023-03-09T04:49:18;2;2
3;2023-03-09T09:39:10;2023-03-09T00:13:03;3;3
4;2023-03-09T11:55:11;2023-03-09T00:51:02;4;4
5;2023-03-09T10:24:04;2023-03-09T03:44:36;5;5
6;2023-03-09T10:31:27;2023-03-09T10:49:00;6;6
7;2023-03-08T19:35:31;2023-03-09T03:57:36;7;7
8;2023-03-09T09:14:57;2023-03-09T10:28:35;8;8
9;2023-03-09T10:06:02;2023-03-09T17:29:42;9;9
10;2023-03-09T06:09:56;2023-03-08T18:57:21;10;10
