id;status;createdat;updatedat
1;false;2023-03-09T16:00:53;2023-03-08T21:51:52
2;true;2023-03-09T15:00:10;2023-03-09T05:54:50
3;true;2023-03-08T20:42:22;2023-03-09T07:32:24
4;true;2023-03-09T00:31:28;2023-03-08T23:00:31
5;true;2023-03-08T19:10:40;2023-03-09T10:07:26
6;false;2023-03-09T02:15:02;2023-03-09T06:42:05
7;true;2023-03-09T10:39:15;2023-03-08T18:10:49
8;true;2023-03-09T02:01:34;2023-03-08T18:13:01
9;true;2023-03-09T12:56:36;2023-03-08T23:47:09
10;true;2023-03-09T10:29:37;2023-03-09T16:46:36
