id;createdat;updatedat;expertise
1;2023-03-09T17:22:54;2023-03-09T01:37:24;34012
2;2023-03-08T23:13:46;2023-03-08T22:52:38;59492
3;2023-03-08T19:10:46;2023-03-09T05:53:56;78517
4;2023-03-08T18:36:05;2023-03-09T10:24:23;46786
5;2023-03-09T00:13:55;2023-03-09T11:53:45;75063
6;2023-03-09T06:37:06;2023-03-08T18:13:35;66375
7;2023-03-09T06:44:31;2023-03-09T07:59:46;36433
8;2023-03-08T21:29:49;2023-03-09T01:42:54;69421
9;2023-03-09T11:34:21;2023-03-09T13:46:57;35282
10;2023-03-08T20:31:38;2023-03-08T19:01:29;36003
