id;startdate;enddate;designation;leavingreason;createdat;updatedat
1;2023-03-09T11:52:17;2023-03-08T22:22:35;up Dirham;Rubber Montana bypass;2023-03-09T00:32:00;2023-03-08T17:38:35
2;2023-03-09T05:53:49;2023-03-09T10:05:45;cross-platform;innovative Money Concrete;2023-03-09T07:02:40;2023-03-09T14:25:00
3;2023-03-09T14:47:40;2023-03-09T09:33:19;Gloves;Avon Shoes bricks-and-clicks;2023-03-08T23:54:04;2023-03-09T13:42:14
4;2023-03-09T03:43:48;2023-03-09T07:05:33;asynchronous;driver Pizza;2023-03-09T06:06:35;2023-03-08T21:37:11
5;2023-03-09T12:26:23;2023-03-09T12:24:30;Rufiyaa;Keyboard Colombia;2023-03-08T22:48:44;2023-03-08T23:26:05
6;2023-03-09T00:43:30;2023-03-09T04:28:41;Regional;sky RSS object-oriented;2023-03-09T07:38:03;2023-03-09T15:10:03
7;2023-03-09T09:43:34;2023-03-08T23:29:05;Towels Ball;Fully-configurable;2023-03-09T00:36:08;2023-03-09T12:43:12
8;2023-03-09T00:09:00;2023-03-09T05:58:17;protocol Herzegovina Ergonomic;Computer;2023-03-09T10:59:51;2023-03-09T00:58:23
9;2023-03-09T11:49:26;2023-03-09T08:36:06;Product override B2B;Colorado Executive Factors;2023-03-09T13:59:09;2023-03-09T13:43:15
10;2023-03-09T11:00:43;2023-03-09T13:03:11;Soft;ADP Checking;2023-03-08T23:06:00;2023-03-09T07:53:25
