id;jhi_to;body;status;sentat;createdat;updatedat
1;Minnesota;synthesizing Jewelery;22947;2023-03-08T18:31:45;2023-03-09T00:06:14;2023-03-09T02:51:20
2;back Soft Shilling;integrate Street;19081;2023-03-08T23:39:54;2023-03-08T18:01:05;2023-03-09T12:05:11
3;Dam compress multi-byte;radical Pants;20574;2023-03-08T22:20:08;2023-03-09T07:38:39;2023-03-09T00:49:34
4;Designer Streamlined connect;partnerships Steel;24752;2023-03-08T22:35:20;2023-03-08T21:26:02;2023-03-09T12:16:29
5;Cloned;Nevada Principal;35875;2023-03-09T04:22:31;2023-03-09T07:44:10;2023-03-09T04:07:04
6;withdrawal;Intranet Chief Awesome;11990;2023-03-08T22:09:39;2023-03-09T16:23:26;2023-03-09T01:15:26
7;Loan;Interactions Account Liaison;13324;2023-03-08T19:40:26;2023-03-09T17:29:54;2023-03-09T01:30:56
8;strategize Account;Gloves;76948;2023-03-09T15:13:47;2023-03-08T19:37:24;2023-03-09T05:32:33
9;Mandatory;reboot Refined;26351;2023-03-09T07:33:00;2023-03-09T10:23:34;2023-03-09T16:25:46
10;transmitting;Plastic;46526;2023-03-09T01:37:08;2023-03-09T13:58:51;2023-03-09T11:53:26
