id;question;isdefault;area;competency;category;isskill;skilltype;createdat;updatedat
1;Cotton;true;Security;cross-platform Savings;52623;false;76566;2023-03-08T23:39:14;2023-03-09T03:08:57
2;Fantastic Louisiana Litas;false;SCSI SMTP Salad;Computer Estate;29562;false;6973;2023-03-09T14:38:51;2023-03-09T01:03:50
3;Manager Plastic;true;Bike Planner;users Intranet;96507;false;22723;2023-03-09T03:37:48;2023-03-09T02:49:30
4;drive Games;false;Handmade users;Fundamental turn-key Salad;11541;true;78776;2023-03-08T19:52:13;2023-03-09T02:41:22
5;hacking Pierre;false;envisioneer Central Concrete;Concrete;85153;false;79054;2023-03-09T05:18:02;2023-03-09T02:30:36
6;object-oriented;true;Developer quantifying;Future-proofed cyan;80308;true;61788;2023-03-09T08:42:01;2023-03-09T01:27:43
7;Representative Bedfordshire;true;input;time-frame;85693;true;88881;2023-03-09T13:53:26;2023-03-09T00:20:57
8;SMTP;false;Peru;override;89127;false;14507;2023-03-09T04:29:24;2023-03-09T02:42:06
9;capacitor;false;Credit Innovative;Chief Berkshire Towels;53128;false;3718;2023-03-09T04:00:37;2023-03-09T14:40:56
10;feed;false;Florida quantifying AGP;blue cyan;79479;true;84749;2023-03-09T08:16:57;2023-03-09T16:44:37
