id;status;isreportavailable;reportpath;approvedat;expiredat;createdat;updatedat
1;38660;true;leading-edge Quality-focused Practical;2023-03-08T20:58:06;2023-03-09T07:05:49;2023-03-09T05:06:06;2023-03-09T02:55:18
2;92737;true;Palladium;2023-03-08T19:55:32;2023-03-09T10:06:36;2023-03-09T01:47:05;2023-03-09T01:08:31
3;88810;false;customer Tasty;2023-03-08T21:58:26;2023-03-09T01:54:40;2023-03-08T23:37:38;2023-03-09T15:46:26
4;15552;false;Prairie Beauty Identity;2023-03-09T10:56:54;2023-03-08T23:29:36;2023-03-08T23:49:19;2023-03-09T03:30:20
5;70415;true;next Investment;2023-03-09T11:21:36;2023-03-08T20:03:21;2023-03-09T07:58:55;2023-03-08T22:36:47
6;92786;false;generating;2023-03-08T22:35:08;2023-03-09T07:12:28;2023-03-08T18:20:07;2023-03-08T20:57:36
7;17821;false;capacity Frozen;2023-03-09T06:27:28;2023-03-08T21:57:13;2023-03-08T21:56:55;2023-03-09T10:07:04
8;47584;true;parsing object-oriented olive;2023-03-09T03:50:57;2023-03-09T08:47:14;2023-03-08T22:52:31;2023-03-09T15:26:55
9;24874;false;deposit;2023-03-09T12:10:34;2023-03-09T03:18:01;2023-03-09T14:45:36;2023-03-09T15:19:30
10;38956;false;Senior;2023-03-09T03:50:27;2023-03-09T01:22:12;2023-03-09T07:57:57;2023-03-08T20:17:15
