id;category;hasresponded;respondedat;createdat;updatedat
1;71517;false;2023-03-09T01:08:46;2023-03-09T15:02:26;2023-03-08T17:39:20
2;53382;false;2023-03-09T02:04:01;2023-03-09T04:27:40;2023-03-08T18:33:43
3;27774;true;2023-03-09T14:55:20;2023-03-08T21:38:06;2023-03-09T01:35:32
4;80215;false;2023-03-08T18:46:44;2023-03-09T14:50:12;2023-03-08T20:28:31
5;93679;true;2023-03-09T02:43:27;2023-03-09T02:14:57;2023-03-09T05:04:31
6;31464;false;2023-03-09T08:31:16;2023-03-09T13:30:42;2023-03-09T09:53:28
7;69059;false;2023-03-09T17:29:23;2023-03-09T02:25:40;2023-03-08T22:57:27
8;14856;false;2023-03-09T06:41:48;2023-03-09T15:54:13;2023-03-09T15:11:22
9;90406;false;2023-03-09T03:46:09;2023-03-09T12:46:17;2023-03-09T00:48:05
10;50795;true;2023-03-09T05:12:24;2023-03-09T01:47:30;2023-03-08T21:02:20
