id;weightage;created_at;updated_at;deleted_at;version;goal_group_id;goal_id
1;64225;2023-03-08T22:16:14;2023-03-09T16:18:03;2023-03-09T01:15:12;55033;1;1
2;53962;2023-03-09T06:15:22;2023-03-09T13:52:43;2023-03-09T08:10:23;489;2;2
3;97985;2023-03-09T04:58:55;2023-03-08T19:32:40;2023-03-09T09:21:26;99329;3;3
4;84766;2023-03-09T03:58:09;2023-03-09T08:51:27;2023-03-08T22:16:56;70367;4;4
5;43385;2023-03-09T03:47:27;2023-03-09T11:20:00;2023-03-08T19:26:19;80004;5;5
6;40444;2023-03-09T15:45:35;2023-03-08T21:12:39;2023-03-09T09:23:05;3215;6;6
7;66382;2023-03-09T10:34:18;2023-03-09T00:29:17;2023-03-09T03:56:44;50762;7;7
8;11401;2023-03-09T04:01:14;2023-03-09T14:48:07;2023-03-09T17:06:31;14742;8;8
9;50034;2023-03-09T06:56:35;2023-03-08T18:44:28;2023-03-09T05:47:31;30028;9;9
10;64648;2023-03-09T15:36:15;2023-03-09T13:52:00;2023-03-08T20:50:01;71402;10;10
