id;title;description;created_at;updated_at;deleted_at;version
1;Baby Concrete;solutions;2023-03-08T20:01:04;2023-03-09T09:55:27;2023-03-08T18:04:01;1260
2;Bedfordshire Delaware invoice;online Helena holistic;2023-03-09T17:09:43;2023-03-08T18:24:41;2023-03-09T04:50:24;10867
3;haptic Shoes;Planner Forward;2023-03-08T23:27:03;2023-03-09T09:32:01;2023-03-09T00:13:52;95257
4;transmit;Direct Islands synthesize;2023-03-09T09:42:04;2023-03-09T15:14:50;2023-03-08T18:12:29;13939
5;Account;Ball;2023-03-09T15:12:37;2023-03-09T04:21:57;2023-03-09T13:24:02;2965
6;bifurcated;Card Cross-group group;2023-03-09T00:43:39;2023-03-08T21:58:06;2023-03-09T13:30:57;67057
7;Soft;info-mediaries National Engineer;2023-03-09T02:09:56;2023-03-09T08:19:20;2023-03-08T19:54:40;15993
8;Granite;empower Faso Awesome;2023-03-08T22:45:56;2023-03-09T17:23:28;2023-03-08T22:03:02;46832
9;envisioneer Ariary;Rupee;2023-03-09T15:29:21;2023-03-08T22:06:14;2023-03-09T02:43:10;43797
10;Place programming Dynamic;Gloves Awesome hack;2023-03-08T20:59:38;2023-03-09T11:32:13;2023-03-09T14:36:03;29334
