id;title;freeze;due_date;start_date;end_date;created_at;updated_at;deleted_at;version
1;Cote Gloves seize;true;2023-03-09;2023-03-09;2023-03-09;2023-03-09T17:07:34;2023-03-09T08:55:55;2023-03-09T14:41:33;68981
2;Knoll Frozen;false;2023-03-08;2023-03-09;2023-03-09;2023-03-08T20:21:09;2023-03-09T04:40:55;2023-03-08T21:43:08;31241
3;copying bandwidth;false;2023-03-09;2023-03-09;2023-03-09;2023-03-09T06:06:41;2023-03-09T16:58:05;2023-03-08T19:50:07;82206
4;Roads protocol innovative;false;2023-03-08;2023-03-08;2023-03-08;2023-03-09T10:57:45;2023-03-09T00:16:27;2023-03-08T20:45:14;45786
5;Concrete AGP;false;2023-03-08;2023-03-08;2023-03-09;2023-03-09T02:20:00;2023-03-09T04:01:07;2023-03-09T16:19:34;95334
6;Legacy;true;2023-03-09;2023-03-09;2023-03-09;2023-03-08T21:32:35;2023-03-09T07:47:00;2023-03-09T07:05:40;42187
7;Research Oklahoma Agent;false;2023-03-09;2023-03-08;2023-03-09;2023-03-09T16:37:19;2023-03-09T09:43:58;2023-03-09T02:15:04;11135
8;Market radical Buckinghamshire;true;2023-03-09;2023-03-09;2023-03-09;2023-03-08T19:56:10;2023-03-08T21:04:12;2023-03-09T16:30:18;21572
9;Zimbabwe Direct;true;2023-03-08;2023-03-09;2023-03-09;2023-03-09T06:14:04;2023-03-09T10:17:57;2023-03-09T15:06:51;20086
10;Director;false;2023-03-09;2023-03-09;2023-03-08;2023-03-09T16:29:04;2023-03-09T00:27:52;2023-03-09T01:52:54;66043
