id;name;priority;eff_date;created_at;updated_at;end_date;version
1;Gorgeous hierarchy;86172;2023-03-08T22:54:47;2023-03-09T03:30:45;2023-03-09T04:51:03;2023-03-08T18:14:42;48127
2;Sweden FTP;34811;2023-03-09T07:48:27;2023-03-09T14:23:16;2023-03-08T23:07:09;2023-03-09T12:35:28;62060
3;synergies unleash Intelligent;75118;2023-03-09T16:07:20;2023-03-09T01:29:41;2023-03-09T15:35:30;2023-03-08T22:14:44;27739
4;Fresh Facilitator;95798;2023-03-09T05:15:02;2023-03-09T11:01:32;2023-03-09T05:42:50;2023-03-09T08:41:51;24174
5;Automotive GB;33427;2023-03-09T14:48:33;2023-03-09T15:44:59;2023-03-09T16:03:37;2023-03-09T02:21:06;83951
6;Account Anguilla encompassing;90200;2023-03-09T02:37:34;2023-03-08T19:52:49;2023-03-09T12:43:40;2023-03-09T06:52:21;34631
7;bypass Tanzanian Automotive;79118;2023-03-09T00:38:38;2023-03-09T02:48:03;2023-03-09T11:14:13;2023-03-09T09:24:28;66704
8;Metal;83102;2023-03-09T04:15:09;2023-03-09T11:15:15;2023-03-09T12:38:32;2023-03-09T09:40:06;44935
9;Agent Shore;34014;2023-03-08T22:27:56;2023-03-08T20:12:17;2023-03-09T08:35:14;2023-03-09T07:18:41;63793
10;infrastructures quantify TCP;22579;2023-03-09T11:40:01;2023-03-09T12:10:13;2023-03-09T06:16:28;2023-03-08T22:41:32;36235
