id;source;min_approvals;priority;eff_date;created_at;updated_at;end_date;version;leave_approval_criteria_id;attribute_id
1;Central;91195;56957;2023-03-08T23:29:19;2023-03-09T12:05:54;2023-03-09T03:55:47;2023-03-09T07:25:45;88911;1;1
2;application;57340;47472;2023-03-08T21:33:45;2023-03-09T11:24:35;2023-03-09T07:06:50;2023-03-08T20:19:15;84844;2;2
3;architecture Shir;41021;23898;2023-03-09T07:22:09;2023-03-08T21:34:55;2023-03-09T10:09:16;2023-03-09T11:57:43;78128;3;3
4;deliver value-add;75859;8962;2023-03-08T21:33:19;2023-03-09T00:36:13;2023-03-09T13:02:10;2023-03-09T11:03:44;6259;4;4
5;Italy Fantastic T;3966;57114;2023-03-08T17:54:14;2023-03-09T06:31:18;2023-03-09T17:03:58;2023-03-08T23:21:18;26250;5;5
6;Developer 1080p O;15376;66905;2023-03-09T12:42:29;2023-03-09T04:17:31;2023-03-09T04:37:46;2023-03-09T05:10:26;80785;6;6
7;EXE Account funct;35874;73123;2023-03-09T17:25:29;2023-03-09T15:56:36;2023-03-08T23:09:52;2023-03-08T20:52:04;70081;7;7
8;Account copying e;70505;34767;2023-03-08T19:23:51;2023-03-09T00:21:23;2023-03-09T03:40:15;2023-03-09T15:39:00;31599;8;8
9;blockchains payme;96516;87854;2023-03-08T23:11:33;2023-03-09T16:29:14;2023-03-09T14:35:39;2023-03-09T13:11:03;58830;9;9
10;International lev;26890;42476;2023-03-08T18:16:49;2023-03-09T04:26:08;2023-03-09T00:49:11;2023-03-08T19:25:17;83793;10;10
