id;total;used;eff_date;created_at;updated_at;end_date;version;leave_id;leave_type_id
1;37409;69057;2023-03-09T15:24:56;2023-03-09T14:33:40;2023-03-09T03:57:30;2023-03-09T03:26:18;65785;1;1
2;53218;79710;2023-03-09T04:46:00;2023-03-08T22:57:25;2023-03-09T02:36:59;2023-03-08T22:45:32;98708;2;2
3;7442;63365;2023-03-08T19:51:47;2023-03-08T18:32:40;2023-03-09T00:02:01;2023-03-08T22:05:12;63459;3;3
4;74653;23550;2023-03-09T16:40:34;2023-03-08T19:10:26;2023-03-09T11:56:26;2023-03-09T02:26:56;15177;4;4
5;62126;81272;2023-03-09T00:24:46;2023-03-09T03:33:13;2023-03-09T07:35:31;2023-03-09T03:12:54;28084;5;5
6;64851;42010;2023-03-09T12:03:22;2023-03-09T10:22:52;2023-03-09T10:58:21;2023-03-08T23:17:23;54060;6;6
7;48635;53603;2023-03-09T12:18:00;2023-03-09T07:15:18;2023-03-09T03:00:13;2023-03-09T10:55:32;4287;7;7
8;35184;25466;2023-03-08T18:49:32;2023-03-08T21:40:45;2023-03-09T12:29:07;2023-03-09T14:37:06;29305;8;8
9;64174;65655;2023-03-09T15:49:31;2023-03-08T21:42:57;2023-03-09T03:10:14;2023-03-09T07:51:35;62007;9;9
10;96842;60149;2023-03-08T22:39:25;2023-03-09T00:35:37;2023-03-09T17:09:14;2023-03-09T10:53:35;89794;10;10
