id;source;min_approvals;priority;eff_date;created_at;updated_at;end_date;version;leave_escalation_criteria_id;attribute_id
1;overriding;3465;34551;2023-03-09T00:01:01;2023-03-09T11:15:52;2023-03-09T13:16:23;2023-03-08T17:58:56;97755;1;1
2;Garden;34293;60636;2023-03-08T21:05:31;2023-03-08T18:47:47;2023-03-09T09:31:27;2023-03-09T03:14:00;36312;2;2
3;e-business Canada;56082;67057;2023-03-09T14:34:05;2023-03-09T00:12:23;2023-03-09T01:26:35;2023-03-09T10:35:42;64999;3;3
4;unleash invoice S;33830;86206;2023-03-09T14:37:52;2023-03-09T13:47:55;2023-03-08T20:19:31;2023-03-09T10:23:16;34678;4;4
5;Bedfordshire Inve;92322;11309;2023-03-08T22:09:13;2023-03-08T22:28:46;2023-03-09T11:40:15;2023-03-09T03:44:33;97585;5;5
6;compressing Refin;60406;96519;2023-03-09T12:15:38;2023-03-09T00:53:03;2023-03-08T19:13:31;2023-03-09T05:23:46;14628;6;6
7;generate Chips bl;14701;7367;2023-03-09T03:30:20;2023-03-08T18:26:35;2023-03-09T10:56:25;2023-03-08T18:49:30;13261;7;7
8;online;49032;33934;2023-03-09T15:48:06;2023-03-09T02:26:38;2023-03-09T08:11:33;2023-03-09T16:08:33;88012;8;8
9;Bedfordshire;25562;5793;2023-03-09T16:19:41;2023-03-08T18:19:20;2023-03-08T18:46:27;2023-03-09T13:33:00;81498;9;9
10;microchip Music;15365;48513;2023-03-09T06:51:59;2023-03-08T22:38:02;2023-03-09T04:59:41;2023-03-09T10:45:14;57261;10;10
