id;name;priority;total;eff_date;created_at;updated_at;end_date;version
1;Soft;73347;87799;2023-03-08T17:39:44;2023-03-08T18:45:58;2023-03-09T08:25:34;2023-03-09T04:51:22;190
2;payment overriding;22942;31197;2023-03-08T22:10:22;2023-03-09T09:09:34;2023-03-09T01:09:25;2023-03-09T05:22:04;73798
3;Creative index;22070;97097;2023-03-09T16:45:55;2023-03-08T20:31:47;2023-03-09T00:36:14;2023-03-09T04:38:50;91211
4;Steel networks;46799;59649;2023-03-09T13:04:04;2023-03-09T01:12:36;2023-03-09T10:49:41;2023-03-09T02:07:44;95238
5;Licensed Forward;82948;57588;2023-03-08T22:45:04;2023-03-09T10:50:07;2023-03-08T19:24:46;2023-03-09T15:09:08;93716
6;Lead;66870;44606;2023-03-08T23:21:13;2023-03-08T21:27:14;2023-03-09T00:33:32;2023-03-08T21:06:01;48031
7;rich;83245;7752;2023-03-09T01:22:58;2023-03-08T17:42:44;2023-03-08T20:33:28;2023-03-09T10:20:17;23777
8;SDD markets Island;2232;30436;2023-03-09T10:55:31;2023-03-09T11:46:20;2023-03-08T19:48:47;2023-03-09T12:17:48;5667
9;Mayen deposit Texas;51935;38816;2023-03-09T09:50:43;2023-03-09T07:04:07;2023-03-08T18:38:35;2023-03-09T06:23:36;49090
10;plug-and-play deposit;69001;59057;2023-03-09T12:05:03;2023-03-09T00:53:45;2023-03-09T16:28:10;2023-03-09T08:22:52;89479
