id;approvals;eff_date;created_at;updated_at;end_date;version;approver_status_id;current_leave_request_status_id;next_leave_request_status_id
1;Mar;2023-03-09T11:45:08;2023-03-09T03:43:20;2023-03-08T19:05:14;2023-03-09T00:31:47;52763;1;1;1
2;Sho;2023-03-09T02:03:53;2023-03-09T12:50:00;2023-03-08T18:56:25;2023-03-08T19:03:31;55029;2;2;2
3;acc;2023-03-09T06:47:19;2023-03-09T04:22:39;2023-03-09T00:12:50;2023-03-09T09:10:28;89533;3;3;3
4;Cen;2023-03-09T17:19:51;2023-03-09T06:54:09;2023-03-08T20:49:52;2023-03-09T06:45:43;50750;4;4;4
5;ben;2023-03-09T10:03:58;2023-03-09T08:22:11;2023-03-09T13:04:49;2023-03-09T01:00:02;80288;5;5;5
6;Sou;2023-03-09T06:40:55;2023-03-08T19:12:49;2023-03-09T08:57:23;2023-03-08T20:46:52;21436;6;6;6
7;Ste;2023-03-09T10:28:08;2023-03-09T04:21:04;2023-03-08T23:49:21;2023-03-09T04:54:49;24764;7;7;7
8;Re-;2023-03-08T20:10:38;2023-03-09T06:39:36;2023-03-09T07:59:57;2023-03-09T04:35:36;41487;8;8;8
9;nav;2023-03-09T17:10:19;2023-03-09T17:00:36;2023-03-09T08:54:52;2023-03-09T08:20:31;71585;9;9;9
10;Sof;2023-03-09T01:07:07;2023-03-09T07:28:01;2023-03-09T15:42:24;2023-03-09T04:20:07;17068;10;10;10
