id;created_at;request_start_date;request_end_date;is_half_day;status_date;comments;updated_at;deleted_at;version;leave_detail_id;leave_status_id
1;2023-03-09T13:33:55;2023-03-08;2023-03-09;false;2023-03-09T04:12:46;orange Manager transmit;2023-03-09T12:09:41;2023-03-09T02:22:58;68785;1;1
2;2023-03-09T12:01:41;2023-03-09;2023-03-09;true;2023-03-09T04:03:42;Books;2023-03-09T00:45:43;2023-03-09T17:31:54;33338;2;2
3;2023-03-09T16:19:40;2023-03-09;2023-03-09;true;2023-03-09T05:45:22;visionary Awesome Rapid;2023-03-08T17:47:10;2023-03-09T16:51:13;86857;3;3
4;2023-03-09T05:47:00;2023-03-09;2023-03-09;false;2023-03-09T16:59:58;Kids;2023-03-09T00:57:38;2023-03-08T21:04:44;81023;4;4
5;2023-03-08T22:53:28;2023-03-09;2023-03-09;false;2023-03-09T15:12:20;paradigms Gorgeous overriding;2023-03-08T20:30:16;2023-03-08T22:25:55;69436;5;5
6;2023-03-09T13:37:45;2023-03-09;2023-03-09;false;2023-03-08T19:50:50;leverage Regional;2023-03-08T20:00:14;2023-03-09T08:25:59;86909;6;6
7;2023-03-08T19:57:48;2023-03-09;2023-03-08;true;2023-03-08T20:41:49;payment;2023-03-09T05:43:48;2023-03-09T07:52:22;63078;7;7
8;2023-03-08T19:45:06;2023-03-08;2023-03-09;true;2023-03-09T09:13:37;metrics Plastic Interactions;2023-03-09T12:18:17;2023-03-08T23:12:20;81340;8;8
9;2023-03-09T13:13:00;2023-03-09;2023-03-09;false;2023-03-09T12:00:48;Implementation;2023-03-09T16:43:20;2023-03-09T07:09:04;36014;9;9
10;2023-03-09T13:34:36;2023-03-09;2023-03-08;false;2023-03-08T21:12:23;Engineer EXE;2023-03-09T10:21:40;2023-03-09T09:20:49;54298;10;10
