id;if_approvals;approval_required;created_at;updated_at;deleted_at;version;current_status_id;next_status_id
1;false;true;2023-03-08T21:36:57;2023-03-09T09:59:47;2023-03-09T06:09:48;72862;1;1
2;true;false;2023-03-09T11:21:57;2023-03-08T18:17:55;2023-03-09T16:36:27;88885;2;2
3;true;false;2023-03-09T08:39:20;2023-03-09T01:59:23;2023-03-08T18:41:28;5914;3;3
4;false;false;2023-03-09T13:28:22;2023-03-08T22:54:38;2023-03-09T16:49:10;3572;4;4
5;true;false;2023-03-08T20:02:22;2023-03-09T09:06:51;2023-03-09T02:43:22;44852;5;5
6;false;true;2023-03-08T17:50:25;2023-03-09T13:50:04;2023-03-08T23:52:59;65286;6;6
7;true;true;2023-03-09T08:54:53;2023-03-09T02:50:12;2023-03-09T08:25:17;76492;7;7
8;true;true;2023-03-09T12:01:03;2023-03-09T01:40:37;2023-03-08T23:55:00;6219;8;8
9;false;true;2023-03-09T00:29:53;2023-03-09T11:45:30;2023-03-09T14:57:07;90434;9;9
10;false;true;2023-03-09T01:53:38;2023-03-08T23:59:45;2023-03-09T08:06:47;96117;10;10
