id;name;leave_group;system_key;is_default;eff_date;created_at;updated_at;end_date;version
1;Right-sized;Manager installation;Steel Steel microchi;true;2023-03-09T06:44:53;2023-03-08T21:48:14;2023-03-08T18:17:34;2023-03-09T10:10:37;83745
2;Corporate Unbranded;Mobility program;Mauritius;true;2023-03-08T23:03:22;2023-03-09T01:28:06;2023-03-09T09:14:39;2023-03-09T13:15:13;80408
3;Licensed backing Supervisor;Concrete;technologies Brook a;true;2023-03-09T11:46:42;2023-03-09T05:11:17;2023-03-09T17:32:00;2023-03-09T04:02:55;59662
4;Drives support circuit;mission-critical;Beauty SDD Bahamian;false;2023-03-09T04:36:37;2023-03-09T12:20:03;2023-03-08T19:22:39;2023-03-09T05:22:22;76022
5;Assistant Supervisor;Global transition So;envisioneer Facilita;false;2023-03-08T22:31:36;2023-03-09T03:34:15;2023-03-09T10:23:19;2023-03-09T01:38:04;7802
6;deposit digital;Electronics portals;transmitter;true;2023-03-09T05:40:31;2023-03-09T05:56:33;2023-03-09T04:21:35;2023-03-09T06:00:42;29611
7;Buckinghamshire;maroon;e-commerce strategiz;false;2023-03-09T01:10:56;2023-03-08T22:32:38;2023-03-09T08:42:16;2023-03-09T04:36:36;55672
8;Run;magenta withdrawal H;Security;false;2023-03-08T18:37:48;2023-03-08T20:41:48;2023-03-09T07:42:36;2023-03-09T04:31:38;26792
9;French Integrated;Pennsylvania Researc;system;true;2023-03-09T09:49:16;2023-03-09T10:59:00;2023-03-09T12:09:37;2023-03-08T23:48:32;85182
10;Internal Cambridgeshire leading-edge;Sum;database policy;false;2023-03-09T02:02:06;2023-03-09T10:20:49;2023-03-09T08:44:28;2023-03-09T06:35:14;82744
