id;eff_date;created_at;updated_at;deleted_at;version;leave_approval_criteria_id;leave_type_id
1;2023-03-08T18:59:13;2023-03-09T10:02:59;2023-03-09T08:57:54;2023-03-09T13:27:11;77406;1;1
2;2023-03-08T21:08:24;2023-03-09T12:39:36;2023-03-08T22:44:14;2023-03-08T21:49:37;9661;2;2
3;2023-03-09T11:59:53;2023-03-09T06:16:11;2023-03-09T00:20:08;2023-03-08T23:41:23;7488;3;3
4;2023-03-09T06:35:35;2023-03-09T14:37:06;2023-03-09T08:31:09;2023-03-08T23:04:32;66253;4;4
5;2023-03-09T05:28:24;2023-03-09T01:22:23;2023-03-09T07:38:58;2023-03-09T10:17:23;35240;5;5
6;2023-03-09T09:47:41;2023-03-09T16:34:52;2023-03-09T09:02:38;2023-03-09T14:15:13;63738;6;6
7;2023-03-09T12:42:57;2023-03-08T18:07:48;2023-03-09T01:29:02;2023-03-08T21:58:51;10245;7;7
8;2023-03-08T18:27:11;2023-03-09T08:10:23;2023-03-09T00:28:44;2023-03-09T09:49:07;70814;8;8
9;2023-03-09T16:02:56;2023-03-09T10:55:54;2023-03-09T01:52:14;2023-03-09T07:47:20;47395;9;9
10;2023-03-09T03:07:42;2023-03-08T22:17:38;2023-03-09T04:00:25;2023-03-09T04:06:15;40508;10;10
