id;no_of_leaves;tenure_cycle;jhi_to;jhi_from;inclusivity;max_quota;is_accured;eff_date;created_at;updated_at;end_date;version;leave_type_id
1;74793;Glove;44492;15767;cutting-edge L;68461;false;2023-03-09T01:53:20;2023-03-09T17:12:26;2023-03-08T21:58:21;2023-03-09T03:42:09;90044;1
2;94193;navig;79473;84963;markets;88311;false;2023-03-08T23:08:36;2023-03-09T15:02:15;2023-03-09T16:19:27;2023-03-08T19:32:18;82222;2
3;68609;card;13819;603;Administrator;14566;false;2023-03-09T17:05:39;2023-03-09T00:30:26;2023-03-08T21:05:12;2023-03-08T22:08:57;31217;3
4;84251;Intel;86496;9032;Dakota Chicken;96621;true;2023-03-09T16:32:43;2023-03-09T15:14:05;2023-03-08T22:23:59;2023-03-09T02:59:44;87861;4
5;73480;Imple;99632;56121;Fantastic fire;38176;false;2023-03-09T14:01:18;2023-03-09T16:02:42;2023-03-08T21:31:48;2023-03-09T07:18:27;74256;5
6;63907;Lempi;63975;78520;Direct Tobago;67421;true;2023-03-09T03:12:16;2023-03-09T10:40:46;2023-03-09T04:55:06;2023-03-09T16:44:52;84277;6
7;28938;Inter;33326;86024;synthesizing;41411;true;2023-03-09T04:27:08;2023-03-09T08:12:58;2023-03-08T23:52:03;2023-03-08T23:46:42;2835;7
8;42668;infra;57724;13071;Practical lave;12092;false;2023-03-09T13:47:38;2023-03-09T07:51:44;2023-03-09T06:29:42;2023-03-09T11:54:28;38688;8
9;10255;Progr;77944;57484;solid connecti;50890;false;2023-03-09T00:26:00;2023-03-09T02:54:51;2023-03-09T14:22:39;2023-03-09T02:54:13;88576;9
10;96235;matri;52733;88980;Won;83351;false;2023-03-09T11:32:33;2023-03-09T12:34:14;2023-03-09T07:10:05;2023-03-08T21:46:19;77714;10
