id;no_of_days;eff_date;created_at;updated_at;end_date;version;leave_escalation_criteria_id;leave_request_status_id;leave_type_id
1;51677;2023-03-09T09:13:11;2023-03-09T04:05:14;2023-03-09T11:19:18;2023-03-09T08:07:37;58776;1;1;1
2;87748;2023-03-09T14:52:17;2023-03-09T02:12:54;2023-03-08T20:06:41;2023-03-09T12:48:45;44541;2;2;2
3;47730;2023-03-09T07:19:22;2023-03-09T05:28:32;2023-03-09T12:26:20;2023-03-08T21:20:08;45495;3;3;3
4;14068;2023-03-09T04:27:28;2023-03-09T03:08:37;2023-03-09T04:47:31;2023-03-09T00:28:43;14720;4;4;4
5;23382;2023-03-09T07:14:23;2023-03-08T21:38:40;2023-03-08T17:46:15;2023-03-08T21:11:25;84474;5;5;5
6;30468;2023-03-09T10:03:52;2023-03-08T17:51:44;2023-03-09T07:16:51;2023-03-09T12:25:45;18832;6;6;6
7;17965;2023-03-09T13:09:08;2023-03-09T08:24:23;2023-03-08T20:35:04;2023-03-09T06:01:33;5175;7;7;7
8;91068;2023-03-09T17:14:56;2023-03-08T21:32:13;2023-03-09T17:14:00;2023-03-08T18:51:20;71771;8;8;8
9;58118;2023-03-09T17:16:59;2023-03-09T15:25:04;2023-03-09T01:16:19;2023-03-09T15:04:25;22104;9;9;9
10;29857;2023-03-09T05:26:16;2023-03-09T01:01:54;2023-03-09T09:29:06;2023-03-08T17:54:16;30901;10;10;10
