id;restriction_json;eff_date;created_at;updated_at;end_date;version;leave_type_id
1;black;2023-03-08T20:26:41;2023-03-09T05:24:34;2023-03-09T15:34:13;2023-03-09T12:59:41;91507;1
2;Locks Centers Liaison;2023-03-09T03:00:16;2023-03-09T04:27:19;2023-03-09T09:55:10;2023-03-09T16:44:30;44509;2
3;Avon relationships;2023-03-08T20:21:41;2023-03-09T00:05:35;2023-03-09T15:22:08;2023-03-09T17:11:28;69769;3
4;Island repurpose;2023-03-08T18:55:49;2023-03-09T14:47:46;2023-03-08T21:41:04;2023-03-09T09:15:10;47145;4
5;Hollow Lead;2023-03-09T15:58:24;2023-03-09T01:12:19;2023-03-09T10:22:47;2023-03-08T19:15:54;94617;5
6;Armenia;2023-03-09T10:16:45;2023-03-09T08:28:03;2023-03-08T19:18:52;2023-03-09T02:54:31;17029;6
7;Plastic Bike Ergonomic;2023-03-09T05:03:32;2023-03-08T18:38:17;2023-03-09T11:01:59;2023-03-09T05:07:33;74402;7
8;invoice;2023-03-09T08:10:45;2023-03-09T13:36:53;2023-03-09T16:20:35;2023-03-08T23:59:39;1239;8
9;lavender encompassing;2023-03-09T13:29:20;2023-03-09T17:12:17;2023-03-08T21:51:42;2023-03-09T02:07:50;90039;9
10;Soft Architect Steel;2023-03-08T18:38:10;2023-03-09T14:26:54;2023-03-08T19:44:46;2023-03-09T03:40:05;29238;10
