id;name;category;cycle_type;cycle_count;max_quota;eff_date;created_at;updated_at;end_date;version
1;optical of;Music THX;gener;29398;38050;2023-03-08T23:53:52;2023-03-09T12:05:09;2023-03-09T06:24:54;2023-03-08T18:03:14;56453
2;East;solid;Assoc;7445;27013;2023-03-09T12:41:20;2023-03-09T01:41:25;2023-03-09T05:49:20;2023-03-09T02:36:24;49040
3;French Planner cultivate;Market Be;robus;76936;31856;2023-03-09T09:11:36;2023-03-08T23:21:17;2023-03-09T13:32:05;2023-03-09T13:36:59;66105
4;Lock;facilitat;enabl;55234;20841;2023-03-09T12:50:33;2023-03-09T06:47:03;2023-03-09T15:11:48;2023-03-09T15:56:02;62655
5;Oregon;synergist;SAS M;844;9093;2023-03-09T07:56:05;2023-03-09T02:56:09;2023-03-08T19:17:39;2023-03-09T05:58:12;38900
6;yellow Frozen;hacking;Syria;21180;37324;2023-03-08T23:34:51;2023-03-08T19:38:06;2023-03-09T06:14:39;2023-03-09T14:26:04;75286
7;Sleek Human web-enabled;Dram;back-;21045;73195;2023-03-09T07:10:23;2023-03-09T09:40:40;2023-03-08T22:29:13;2023-03-09T05:31:49;33933
8;Games Sports;full-rang;Towel;26297;80185;2023-03-08T18:41:02;2023-03-09T09:54:09;2023-03-09T15:19:21;2023-03-09T07:56:52;31141
9;B2B;connect b;Grani;76520;26230;2023-03-09T14:54:49;2023-03-08T23:17:46;2023-03-09T11:26:49;2023-03-09T16:51:38;90793
10;Future Dominican architecture;systemati;Plast;77389;61947;2023-03-09T03:19:29;2023-03-09T04:46:34;2023-03-09T02:32:44;2023-03-09T15:38:40;19702
