id;name;isactive;createdat;updatedat
1;solid;true;2023-03-08T19:05:45;2023-03-09T06:07:38
2;Soap;false;2023-03-09T05:18:19;2023-03-09T03:10:18
3;enterprise seize;true;2023-03-09T12:05:38;2023-03-09T05:02:07
4;Innovative Assurance indexing;true;2023-03-09T10:16:36;2023-03-08T19:19:07
5;pink Account Frozen;true;2023-03-09T11:57:56;2023-03-09T04:55:00
6;grey context-sensitive;true;2023-03-08T22:25:58;2023-03-09T08:55:04
7;transparent empower;false;2023-03-09T06:10:25;2023-03-09T00:46:49
8;Configurable engage Awesome;true;2023-03-09T12:04:00;2023-03-09T08:15:52
9;parsing;false;2023-03-09T09:59:25;2023-03-09T09:20:19
10;strategize Refined Home;true;2023-03-09T04:24:34;2023-03-09T13:48:03
