id;eff_date;created_at;updated_at;end_date;version;user_id
1;2023-03-09T05:17:47;2023-03-09T13:31:57;2023-03-08T21:33:59;2023-03-09T02:01:31;49267;1
2;2023-03-08T20:06:08;2023-03-09T05:03:07;2023-03-09T00:48:46;2023-03-08T22:32:29;10007;2
3;2023-03-09T15:38:46;2023-03-09T12:35:26;2023-03-09T02:32:23;2023-03-09T08:08:06;61871;3
4;2023-03-09T15:47:42;2023-03-08T22:58:37;2023-03-08T21:47:45;2023-03-08T19:08:48;23103;4
5;2023-03-09T07:45:34;2023-03-09T06:04:38;2023-03-09T06:09:41;2023-03-08T22:01:11;55406;5
6;2023-03-09T17:16:13;2023-03-09T09:12:45;2023-03-09T11:28:13;2023-03-09T12:55:07;99021;6
7;2023-03-08T22:48:26;2023-03-08T18:26:33;2023-03-09T07:57:02;2023-03-09T13:40:59;50048;7
8;2023-03-08T23:50:30;2023-03-08T19:29:04;2023-03-09T13:23:26;2023-03-08T23:38:06;37216;8
9;2023-03-09T01:13:22;2023-03-09T03:41:13;2023-03-09T14:17:12;2023-03-09T02:06:07;80578;9
10;2023-03-09T01:49:57;2023-03-09T08:24:17;2023-03-09T00:43:18;2023-03-09T00:44:03;37497;10
