id;annualtotal;annualused;annualadjustments;casualtotal;casualused;sicktotal;sickused;annualtotalnextyear;annualusednextyear;casualtotalnextyear;casualusednextyear;sicktotalnextyear;sickusednextyear;carryforward;createdat;updatedat
1;38709;1013;25344;36741;12274;68269;51223;95998;50431;56943;9811;45489;53964;37708;2023-03-09T14:37:57;2023-03-09T17:26:57
2;85506;34537;1758;45623;54393;18870;97829;18600;44008;60947;83124;49503;20182;27271;2023-03-09T08:15:11;2023-03-09T09:27:36
3;96902;39614;26769;86088;28484;35000;98659;32963;43737;8155;23446;5023;77300;85736;2023-03-09T17:09:25;2023-03-09T06:59:01
4;92648;48487;65355;96849;75564;54564;5726;66886;38709;66931;72348;3317;72841;76392;2023-03-09T17:04:51;2023-03-09T11:43:11
5;80259;44894;23787;69961;45914;80744;5787;62317;10200;8379;65081;58000;60667;54273;2023-03-09T12:10:07;2023-03-09T00:53:48
6;93742;34290;89191;72564;67566;89349;57093;61592;59809;38494;46927;62548;36932;27947;2023-03-09T05:26:25;2023-03-09T09:08:19
7;54105;75413;38257;75262;23367;41907;3802;53066;77976;16150;9385;7898;6584;1760;2023-03-09T11:20:37;2023-03-08T19:23:05
8;73986;23256;70660;61532;21801;35652;5905;75281;68331;95494;85641;11678;85416;78308;2023-03-09T10:12:07;2023-03-09T03:58:15
9;70881;57607;34903;92104;61016;81901;95306;43046;98575;91593;32778;65316;85110;64521;2023-03-09T08:07:57;2023-03-09T04:24:29
10;20576;54735;88621;8347;76727;88585;46412;80357;76750;45957;57694;37723;85930;78976;2023-03-09T15:35:50;2023-03-09T01:28:06
