id;annualtotal;annualused;annualadjustments;casualtotal;casualused;sicktotal;sickused;annualtotalnextyear;annualusednextyear;casualtotalnextyear;casualusednextyear;sicktotalnextyear;sickusednextyear;carryforward;createdat;updatedat
1;5391;33985;54898;2683;502;88041;92301;53135;1613;18963;14935;59531;21866;82094;2023-03-08T22:42:32;2023-03-09T09:01:20
2;68625;13264;79846;35235;68697;37217;78333;79970;26788;39105;14664;44124;77898;49861;2023-03-09T00:36:08;2023-03-09T02:49:46
3;51044;24720;38189;81307;659;30122;91433;95378;91520;63031;82859;8444;87561;66210;2023-03-08T20:30:20;2023-03-09T15:00:40
4;7500;29017;22787;4536;67710;96399;81463;58687;66575;50005;80748;18650;15040;20854;2023-03-08T21:35:49;2023-03-08T19:59:02
5;55957;6322;36493;45667;33953;81532;81175;38467;19598;44543;1548;81844;30830;29890;2023-03-08T22:26:44;2023-03-08T23:33:55
6;7093;37073;27944;28945;39327;56431;83408;28847;82819;90065;64734;43252;44416;53367;2023-03-09T04:24:48;2023-03-08T20:46:48
7;62334;28844;1071;28745;1848;9132;66672;26887;216;85591;10424;22717;85115;50183;2023-03-08T21:07:02;2023-03-09T14:59:34
8;76169;94288;42904;64375;39932;6721;57595;51225;78564;8244;43563;71628;66923;32403;2023-03-09T03:47:48;2023-03-09T01:31:21
9;45656;93961;60024;34204;37645;83349;57530;87950;26087;54472;23625;63120;22346;42312;2023-03-09T17:14:53;2023-03-09T08:33:04
10;89060;46476;68019;96856;1320;44923;70698;6233;31223;36691;78521;73136;15762;41448;2023-03-09T09:55:05;2023-03-09T09:35:36
