id;name;eff_date;created_at;updated_at;end_date;version
1;paradigms Berkshire Web;2023-03-08T22:27:32;2023-03-08T23:33:32;2023-03-09T12:39:50;2023-03-09T01:17:28;67693
2;programming Account Suriname;2023-03-09T01:31:54;2023-03-08T23:48:59;2023-03-08T18:28:28;2023-03-08T17:58:24;47398
3;Granite;2023-03-08T18:18:08;2023-03-09T10:21:35;2023-03-09T01:48:01;2023-03-09T12:08:16;28250
4;cultivate Sausages invoice;2023-03-09T11:16:40;2023-03-08T18:52:13;2023-03-09T11:05:17;2023-03-08T23:13:59;17844
5;Latvian;2023-03-09T16:39:27;2023-03-09T12:12:38;2023-03-08T19:04:34;2023-03-08T17:55:49;42692
6;value-added;2023-03-09T02:35:21;2023-03-09T02:45:49;2023-03-08T18:27:24;2023-03-09T11:23:39;63501
7;Devolved digital;2023-03-09T08:27:27;2023-03-08T23:28:51;2023-03-08T19:55:41;2023-03-08T22:17:09;1965
8;Coordinator;2023-03-08T19:41:23;2023-03-09T15:04:09;2023-03-08T20:31:41;2023-03-09T03:20:27;53175
9;Liaison Liaison needs-based;2023-03-08T22:41:44;2023-03-09T15:43:34;2023-03-09T10:49:39;2023-03-08T21:27:43;57349
10;Towels magenta;2023-03-08T23:08:36;2023-03-09T11:09:34;2023-03-09T03:18:43;2023-03-08T19:00:29;13803
