id;field;eff_date;created_at;updated_at;end_date;version;notification_event_id
1;extensible withdrawal attitude-oriented;2023-03-09T14:37:45;2023-03-09T12:13:48;2023-03-09T06:43:14;2023-03-09T13:41:35;16726;1
2;Rubber invoice;2023-03-09T11:55:36;2023-03-09T09:38:28;2023-03-09T09:31:12;2023-03-09T11:24:40;17502;2
3;Washington hacking 24/7;2023-03-08T21:17:41;2023-03-09T05:14:57;2023-03-09T11:42:43;2023-03-08T17:46:55;62247;3
4;TCP;2023-03-09T16:32:42;2023-03-09T01:39:14;2023-03-08T20:25:18;2023-03-09T01:34:29;7129;4
5;Technician Practical;2023-03-09T03:58:09;2023-03-08T18:12:27;2023-03-08T23:20:05;2023-03-09T12:43:50;49475;5
6;Product Israel Georgia;2023-03-09T04:54:28;2023-03-09T13:16:58;2023-03-09T17:04:25;2023-03-08T18:26:53;32387;6
7;microchip;2023-03-09T08:32:37;2023-03-09T01:07:20;2023-03-08T19:28:15;2023-03-08T20:34:09;46062;7
8;Granite cohesive;2023-03-09T02:00:50;2023-03-09T01:39:22;2023-03-09T10:41:01;2023-03-09T00:56:00;96025;8
9;Public-key upward-trending metrics;2023-03-09T14:45:15;2023-03-08T20:37:47;2023-03-09T04:09:59;2023-03-08T20:58:07;78888;9
10;Omani;2023-03-08T17:47:22;2023-03-09T05:43:25;2023-03-09T10:24:40;2023-03-08T22:36:41;76864;10
