id;name;eff_date;created_at;updated_at;end_date;version;sub_category;description
1;Manager;2023-03-09T10:52:03;2023-03-09T09:40:42;2023-03-08T19:36:08;2023-03-09T01:11:22;92451;Computers application;scale generating Central
2;sky;2023-03-09T16:21:11;2023-03-08T22:27:15;2023-03-09T15:30:33;2023-03-09T16:49:00;94836;Plastic;sensor
3;bypassing wireless optical;2023-03-09T03:18:35;2023-03-09T06:10:51;2023-03-09T03:40:17;2023-03-08T21:19:39;90203;Computer Ball TCP;SAS
4;real-time;2023-03-09T15:41:11;2023-03-09T04:48:56;2023-03-09T09:54:55;2023-03-09T16:53:09;31992;incentivize bus synergistic;Manager Assurance Keyboard
5;Massachusetts Paradigm Seychelles;2023-03-09T10:28:18;2023-03-09T10:24:53;2023-03-08T19:24:44;2023-03-09T04:27:27;14829;ROI uniform;granular Bacon
6;Uganda;2023-03-09T15:51:33;2023-03-09T10:31:52;2023-03-08T19:21:30;2023-03-08T20:04:35;46825;Car product;generating synthesizing content
7;Pants SCSI;2023-03-09T11:41:52;2023-03-09T08:31:10;2023-03-09T08:28:33;2023-03-08T21:50:47;36597;Shoal;HTTP AI concept
8;deposit redundant;2023-03-08T21:09:46;2023-03-09T02:05:59;2023-03-09T03:08:07;2023-03-09T10:03:57;85866;Ridges proactive synthesizing;real-time firewall
9;transmitter matrix;2023-03-09T11:02:58;2023-03-09T09:11:23;2023-03-09T10:41:25;2023-03-09T11:37:02;69105;payment Handcrafted;THX
10;Kina;2023-03-09T15:08:13;2023-03-09T12:30:07;2023-03-09T02:43:59;2023-03-09T00:03:47;22083;Product Account;application Shoes Beauty
