id;eff_date;created_at;updated_at;end_date;version;category_id;rating_attribute_id
1;2023-03-09T12:55:28;2023-03-09T00:58:28;2023-03-09T07:59:30;2023-03-08T20:53:52;92417;1;1
2;2023-03-09T02:09:48;2023-03-09T02:37:49;2023-03-08T22:44:03;2023-03-09T11:23:16;22970;2;2
3;2023-03-08T20:55:59;2023-03-09T02:51:45;2023-03-08T20:38:29;2023-03-09T02:54:51;51631;3;3
4;2023-03-09T13:44:53;2023-03-08T22:40:40;2023-03-09T05:50:53;2023-03-08T18:23:27;55194;4;4
5;2023-03-08T21:54:02;2023-03-09T04:38:59;2023-03-09T17:24:09;2023-03-09T06:43:45;5260;5;5
6;2023-03-09T15:13:55;2023-03-09T12:47:46;2023-03-09T01:54:14;2023-03-09T00:22:02;24055;6;6
7;2023-03-09T11:10:16;2023-03-09T13:33:27;2023-03-09T16:23:37;2023-03-09T17:32:39;55716;7;7
8;2023-03-08T17:36:30;2023-03-09T04:17:58;2023-03-09T05:00:39;2023-03-09T11:16:49;17148;8;8
9;2023-03-08T20:41:38;2023-03-09T02:22:40;2023-03-09T08:46:13;2023-03-09T11:31:04;65616;9;9
10;2023-03-09T00:09:44;2023-03-09T16:19:44;2023-03-09T09:08:23;2023-03-09T12:56:39;45053;10;10
