id;strength;development_area;career_ambition;short_course;technical_training;soft_skills_training;critical_position;high_potential;created_at;updated_at;deleted_at;version;rating_id
1;Plastic Account;virtual;Locks;Monitored invoice;Unbranded parsing;payment Enterprise-wide salmon;false;true;2023-03-09T16:26:23;2023-03-09T15:25:55;2023-03-09T01:56:35;87509;1
2;virtual Rupiah help-desk;Pula;SQL Wooden Manager;Cambridgeshire parse Soft;Home;Lodge Mississippi Intelligent;true;true;2023-03-09T16:06:02;2023-03-09T13:10:25;2023-03-09T12:11:17;9309;2
3;Pants;Dollar Industrial;Checking purple brand;Wooden panel;Anguilla bluetooth View;indigo Central redundant;true;true;2023-03-08T21:55:54;2023-03-09T00:58:31;2023-03-09T01:58:17;32073;3
4;payment Turks;Computers back;frictionless;responsive;indexing Zloty Maryland;Function-based;true;false;2023-03-09T16:05:35;2023-03-09T15:33:48;2023-03-09T15:33:51;74262;4
5;Intelligent;Lats Right-sized;Account;Montserrat Licensed;SDR fuchsia Concrete;improvement feed encompassing;false;true;2023-03-09T15:25:46;2023-03-09T16:24:59;2023-03-08T18:25:52;3822;5
6;International;Buckinghamshire Bedfordshire;blockchains Integrated;XML;Pines Mississippi system;Jewelery;true;false;2023-03-09T00:46:22;2023-03-09T05:18:07;2023-03-08T22:00:39;67434;6
7;Program override Intelligent;Tuna;capacitor COM;TCP;Village 17(E.U.A.-17) calculating;leading;false;true;2023-03-09T13:07:40;2023-03-09T12:54:40;2023-03-08T23:04:28;28289;7
8;wireless;morph HTTP;secured;Oregon evolve;SSL web-readiness;Architect Tuna unleash;false;true;2023-03-09T13:08:18;2023-03-09T14:06:48;2023-03-08T19:26:19;87225;8
9;yellow transmit Centralized;copy e-commerce Directives;Home Washington Manor;migration Plastic Baby;Universal;Games Buckinghamshire Belarussian;true;false;2023-03-09T01:08:18;2023-03-08T19:37:33;2023-03-08T23:25:55;15062;9
10;Saudi sexy;Integration vortals deposit;Associate Ball teal;Saint Vermont auxiliary;tertiary;Leone Loan;true;false;2023-03-08T18:47:39;2023-03-09T07:58:36;2023-03-09T03:08:33;5228;10
