id;name;jhi_group;system_key;created_at;updated_at;deleted_at;version
1;Guilder Facilitator;Checking Configuration;mobile Concrete payment;2023-03-08T21:42:33;2023-03-09T10:29:42;2023-03-08T19:58:42;67018
2;Investment parse;open-source Global FTP;Mission payment;2023-03-09T00:25:27;2023-03-09T03:14:49;2023-03-09T11:37:53;99473
3;input;mobile override;morph;2023-03-08T21:55:11;2023-03-09T17:29:32;2023-03-09T16:38:41;1355
4;lime;Mouse Chad Team-oriented;exploit;2023-03-09T04:09:04;2023-03-09T03:37:37;2023-03-09T02:11:41;12038
5;Congo e-commerce Soap;Pike Texas;Radial Practical;2023-03-09T11:43:32;2023-03-08T19:10:22;2023-03-09T02:15:52;39303
6;quantifying haptic;Buckinghamshire;networks next-generation;2023-03-09T11:49:32;2023-03-09T09:54:01;2023-03-09T05:27:58;55921
7;turquoise;quantify upward-trending;drive Director;2023-03-08T18:37:42;2023-03-09T01:28:07;2023-03-09T13:41:42;23976
8;Investor visualize Outdoors;Specialist;Awesome;2023-03-09T11:36:31;2023-03-09T06:19:27;2023-03-09T03:49:28;55353
9;Usability;deposit Dynamic;Brand;2023-03-09T05:44:17;2023-03-08T19:40:21;2023-03-09T07:19:17;85770
10;Granite Netherlands Organized;Planner Uruguay;neutral FTP;2023-03-09T02:25:44;2023-03-08T20:44:34;2023-03-09T01:25:07;57549
