id;month;year;totalresources;pmreviewed;archreviewed;startdate;enddate;isactive;createdat;updatedat;projectcount;criteria;notificationsent;duedate;initiationdate
1;false;false;true;true;true;2023-03-09T11:02:07;2023-03-09T09:41:18;true;2023-03-09T03:10:39;2023-03-09T05:36:23;true;49351;true;2023-03-09T14:04:30;2023-03-09T10:08:19
2;true;true;true;true;false;2023-03-09T16:49:47;2023-03-09T17:06:42;true;2023-03-08T23:45:52;2023-03-08T20:18:15;false;36825;false;2023-03-09T05:58:39;2023-03-09T10:54:49
3;true;true;true;true;true;2023-03-09T16:49:49;2023-03-09T09:48:20;true;2023-03-08T22:54:31;2023-03-09T14:48:08;true;70743;true;2023-03-09T13:21:49;2023-03-09T10:40:37
4;true;true;true;true;false;2023-03-09T13:38:19;2023-03-09T08:46:09;true;2023-03-09T05:12:16;2023-03-08T22:34:28;true;75877;false;2023-03-09T17:18:12;2023-03-09T15:13:34
5;false;false;false;false;true;2023-03-08T19:12:29;2023-03-08T18:04:49;true;2023-03-08T18:17:22;2023-03-09T00:28:00;false;77954;false;2023-03-09T17:32:51;2023-03-09T16:07:53
6;true;false;false;false;true;2023-03-08T17:47:54;2023-03-09T07:14:13;false;2023-03-09T14:05:38;2023-03-08T18:17:31;true;3289;true;2023-03-09T00:03:37;2023-03-09T09:54:13
7;true;true;true;false;false;2023-03-09T07:57:26;2023-03-09T02:28:43;false;2023-03-09T04:42:07;2023-03-09T05:10:54;true;56719;false;2023-03-09T11:52:25;2023-03-08T22:20:21
8;false;true;false;true;true;2023-03-09T02:28:07;2023-03-09T15:21:31;true;2023-03-08T21:15:42;2023-03-09T02:36:03;false;63407;true;2023-03-09T14:44:35;2023-03-08T20:11:33
9;false;true;false;true;true;2023-03-09T10:20:26;2023-03-09T14:48:49;true;2023-03-09T03:18:25;2023-03-08T18:16:47;true;27793;true;2023-03-08T18:14:55;2023-03-09T06:28:03
10;false;true;false;false;false;2023-03-08T20:54:21;2023-03-09T14:27:30;false;2023-03-09T07:19:56;2023-03-09T15:24:54;true;17615;false;2023-03-09T11:53:18;2023-03-09T13:41:37
