id;month;year;totalresources;pmreviewed;archreviewed;startdate;enddate;isactive;createdat;updatedat;projectcount;criteria;notificationsent;duedate;initiationdate
1;true;false;true;false;false;2023-03-09T13:20:01;2023-03-09T04:21:24;false;2023-03-08T23:34:20;2023-03-09T06:10:47;false;15258;false;2023-03-08T21:34:32;2023-03-08T21:06:32
2;false;true;false;false;true;2023-03-09T13:24:25;2023-03-08T21:00:07;false;2023-03-09T10:10:28;2023-03-09T11:25:08;false;2141;false;2023-03-09T14:07:17;2023-03-09T06:51:06
3;false;false;true;false;true;2023-03-09T12:17:50;2023-03-09T02:26:37;true;2023-03-09T10:18:27;2023-03-09T10:12:55;false;82870;true;2023-03-09T09:29:46;2023-03-09T13:24:56
4;false;true;false;false;true;2023-03-09T02:14:22;2023-03-09T03:16:27;false;2023-03-08T21:39:06;2023-03-08T19:40:48;false;45966;false;2023-03-09T10:55:02;2023-03-09T09:08:36
5;false;false;false;true;true;2023-03-09T15:07:27;2023-03-09T17:19:14;false;2023-03-09T14:55:01;2023-03-09T08:17:04;true;53541;true;2023-03-08T17:38:28;2023-03-09T14:01:39
6;true;true;true;false;false;2023-03-09T05:11:41;2023-03-09T08:14:40;false;2023-03-09T05:21:20;2023-03-08T22:25:12;false;5438;false;2023-03-09T01:33:47;2023-03-08T20:38:40
7;false;true;true;false;true;2023-03-09T11:39:51;2023-03-09T07:15:22;false;2023-03-08T18:09:33;2023-03-09T08:08:39;false;99792;true;2023-03-09T16:55:07;2023-03-09T05:22:44
8;true;true;true;false;false;2023-03-08T22:07:20;2023-03-08T19:11:55;false;2023-03-09T12:24:33;2023-03-09T15:20:54;false;69057;true;2023-03-09T13:42:17;2023-03-09T16:03:24
9;false;true;false;true;false;2023-03-09T14:47:09;2023-03-09T00:05:19;false;2023-03-09T17:14:04;2023-03-09T00:22:09;true;3655;true;2023-03-09T04:56:52;2023-03-09T14:16:51
10;true;true;true;false;false;2023-03-09T08:35:21;2023-03-09T07:13:06;false;2023-03-08T17:54:58;2023-03-09T16:18:56;false;37911;false;2023-03-09T07:44:49;2023-03-08T18:47:30
