id;isactive;createdat;updatedat;allowedafterduedateat;duedate;auditlogs;deletedat
1;true;2023-03-08T17:45:33;2023-03-09T13:24:34;2023-03-09T13:21:54;2023-03-09T09:40:57;synergies payment Soft;2023-03-09T07:00:45
2;false;2023-03-09T06:33:55;2023-03-09T01:17:22;2023-03-09T11:07:10;2023-03-09T11:43:13;National transmitting;2023-03-09T09:18:55
3;true;2023-03-09T02:03:47;2023-03-09T10:04:05;2023-03-09T01:45:01;2023-03-09T03:00:15;Park Fort;2023-03-09T01:43:34
4;false;2023-03-09T00:33:52;2023-03-08T20:42:00;2023-03-09T17:02:47;2023-03-09T07:49:08;blue Bedfordshire capacity;2023-03-09T14:47:06
5;false;2023-03-09T15:14:45;2023-03-09T00:45:10;2023-03-08T23:04:51;2023-03-08T19:50:30;Fantastic;2023-03-08T18:07:59
6;true;2023-03-09T09:37:01;2023-03-09T12:42:38;2023-03-09T17:03:44;2023-03-09T14:44:14;end-to-end Berkshire Swaziland;2023-03-09T00:12:47
7;false;2023-03-09T04:01:32;2023-03-09T02:26:08;2023-03-09T10:53:11;2023-03-08T23:36:25;cyan;2023-03-08T17:45:50
8;false;2023-03-08T17:39:00;2023-03-09T01:14:09;2023-03-08T22:37:27;2023-03-09T06:10:48;Coordinator azure models;2023-03-09T15:40:22
9;false;2023-03-08T20:44:26;2023-03-09T07:51:29;2023-03-09T12:16:34;2023-03-09T12:25:46;solid payment;2023-03-08T23:11:36
10;true;2023-03-09T13:09:05;2023-03-09T06:57:08;2023-03-08T23:45:18;2023-03-09T08:20:46;best-of-breed Iceland;2023-03-09T16:08:53
