id;isactive;createdat;updatedat;performancecycleid;projectid;allowedafterduedateby;allowedafterduedateat;duedate
1;true;2023-03-08T22:34:11;2023-03-08T17:56:31;47625;67793;88196;2023-03-09T10:13:15;2023-03-09T07:04:26
2;false;2023-03-09T13:03:52;2023-03-08T20:07:57;19487;37566;6887;2023-03-08T18:06:33;2023-03-09T09:22:13
3;true;2023-03-09T02:04:48;2023-03-09T03:39:44;11868;33544;96693;2023-03-09T06:57:32;2023-03-09T01:16:50
4;false;2023-03-08T18:40:54;2023-03-09T14:19:28;74350;67897;87968;2023-03-08T19:09:04;2023-03-09T14:35:31
5;true;2023-03-09T16:27:49;2023-03-09T10:52:07;3351;69854;29077;2023-03-09T10:58:47;2023-03-09T05:06:24
6;false;2023-03-09T15:26:54;2023-03-08T17:45:32;16052;6451;79664;2023-03-09T14:49:46;2023-03-09T15:38:43
7;false;2023-03-08T22:47:22;2023-03-08T23:25:23;81654;23431;52224;2023-03-09T07:41:11;2023-03-09T12:57:27
8;true;2023-03-09T00:46:58;2023-03-09T15:05:16;41941;78654;10334;2023-03-09T13:34:46;2023-03-08T18:16:40
9;true;2023-03-09T11:18:43;2023-03-09T00:45:38;92229;26445;6713;2023-03-08T18:11:17;2023-03-09T06:41:34
10;false;2023-03-08T20:33:22;2023-03-09T05:06:04;78063;99414;7268;2023-03-09T11:04:46;2023-03-09T01:49:27
