id;role;createdat;updatedat;isleadership
1;pixel Towels;2023-03-09T07:40:27;2023-03-09T05:42:51;true
2;Human grey Alaska;2023-03-09T10:25:08;2023-03-09T13:32:21;false
3;magenta;2023-03-09T12:23:59;2023-03-09T13:00:25;false
4;structure Handcrafted;2023-03-09T14:50:39;2023-03-09T06:48:40;true
5;content Cloned;2023-03-09T05:10:16;2023-03-09T16:24:03;false
6;connecting Table Liaison;2023-03-09T06:45:22;2023-03-09T16:05:13;false
7;Grocery Serbia;2023-03-09T03:39:58;2023-03-09T07:00:07;true
8;Carolina backing;2023-03-08T19:21:46;2023-03-09T14:04:50;true
9;interactive Kids circuit;2023-03-09T04:48:32;2023-03-09T02:19:57;true
10;Chair;2023-03-09T16:09:37;2023-03-08T21:51:57;false
