id;name;isactive;isdelete;startdate;enddate;colorcode;createdat;updatedat;deliverymanagerid;architectid;isdeleted;approvedresources;releaseat
1;Forward driver Checking;false;false;2023-03-09T15:57:45;2023-03-08T19:05:05;Gloves Common;2023-03-09T08:58:37;2023-03-09T01:05:44;92100;19110;86762;13594;2023-03-08T20:21:36
2;digital;false;false;2023-03-09T05:27:10;2023-03-09T07:05:03;auxiliary;2023-03-09T16:08:29;2023-03-08T19:14:47;85490;59247;56150;13631;2023-03-09T12:55:44
3;Iowa Ports Open-source;false;true;2023-03-08T20:21:09;2023-03-09T03:00:26;Integration CSS;2023-03-09T11:31:49;2023-03-09T14:34:17;22004;37241;28737;43695;2023-03-09T06:08:27
4;index models grey;true;false;2023-03-08T20:13:39;2023-03-09T06:45:16;Illinois invoice Rubber;2023-03-09T13:55:09;2023-03-09T05:22:00;18669;59693;75326;27017;2023-03-08T21:36:03
5;Road Concrete;true;false;2023-03-09T10:23:41;2023-03-09T07:01:25;Cotton;2023-03-08T21:03:47;2023-03-09T02:03:39;17884;98903;19319;18376;2023-03-09T13:37:04
6;Intranet Liaison;true;false;2023-03-09T03:34:01;2023-03-09T04:49:48;Principal Steel;2023-03-09T04:36:48;2023-03-08T21:58:04;98048;8401;68215;1324;2023-03-09T11:51:52
7;auxiliary Michigan pink;true;false;2023-03-08T19:45:08;2023-03-09T12:08:36;Sol;2023-03-08T23:56:10;2023-03-09T04:28:55;20614;12229;79983;2596;2023-03-08T18:49:50
8;payment;true;false;2023-03-08T21:10:22;2023-03-08T20:17:34;bandwidth-monitored Engineer Devolved;2023-03-08T19:29:13;2023-03-09T10:28:45;13395;4483;53670;13097;2023-03-09T03:51:12
9;connect discrete;true;false;2023-03-09T00:56:22;2023-03-09T01:50:03;Integrated Franc Wisconsin;2023-03-09T16:14:46;2023-03-08T18:38:30;16188;79579;64850;51016;2023-03-09T03:13:58
10;Frozen;true;true;2023-03-09T16:46:14;2023-03-09T10:49:36;Keyboard;2023-03-08T21:20:06;2023-03-09T06:26:12;77786;76620;9897;97035;2023-03-09T00:50:07
