id;question;frequency;createdat;updatedat
1;emulation Buckinghamshire Jersey;70591;2023-03-09T00:26:00;2023-03-08T19:08:55
2;Enterprise-wide navigating Metal;40091;2023-03-08T21:00:50;2023-03-08T19:46:05
3;Concrete PCI Shore;59536;2023-03-08T21:43:00;2023-03-09T00:05:13
4;purple moratorium approach;47791;2023-03-08T20:42:36;2023-03-09T07:31:05
5;Bedfordshire backing dedicated;58766;2023-03-09T10:18:35;2023-03-09T09:27:39
6;Iowa Gloves;81467;2023-03-09T00:22:59;2023-03-09T10:47:49
7;focus Facilitator Optimization;21329;2023-03-09T01:26:24;2023-03-09T09:05:54
8;base;15359;2023-03-09T13:52:07;2023-03-09T16:15:23
9;South Tactics;55362;2023-03-08T20:47:26;2023-03-09T08:52:45
10;bus Agent Administrator;13644;2023-03-08T18:45:51;2023-03-09T06:52:19
