id;effdate;enddate;createdat;updatedat
1;2023-03-09T05:24:19;2023-03-09T14:38:01;2023-03-08T23:33:22;2023-03-08T21:20:10
2;2023-03-09T03:55:04;2023-03-09T07:20:08;2023-03-09T17:22:24;2023-03-09T17:15:54
3;2023-03-09T11:16:41;2023-03-09T14:10:40;2023-03-09T10:35:24;2023-03-09T07:04:24
4;2023-03-08T18:12:49;2023-03-09T04:12:13;2023-03-09T04:20:17;2023-03-09T07:32:09
5;2023-03-09T15:51:39;2023-03-09T15:00:24;2023-03-08T18:39:56;2023-03-09T01:53:36
6;2023-03-09T15:22:16;2023-03-09T05:25:37;2023-03-09T03:29:15;2023-03-09T10:23:04
7;2023-03-08T22:43:26;2023-03-09T13:07:37;2023-03-09T07:36:12;2023-03-09T05:31:26
8;2023-03-09T13:02:53;2023-03-09T06:32:48;2023-03-08T21:44:43;2023-03-09T01:32:02
9;2023-03-08T21:51:36;2023-03-08T22:52:30;2023-03-09T15:26:28;2023-03-09T15:46:00
10;2023-03-09T14:41:57;2023-03-09T15:30:23;2023-03-09T01:23:05;2023-03-09T15:49:35
