id;name;title;description;effdate;enddate;createdat;updatedat
1;Turkmenistan sensor;channels Plastic Lev;grey;2023-03-08T19:32:01;2023-03-09T15:35:59;2023-03-09T04:11:11;2023-03-09T04:27:30
2;Market B2B Loan;payment calculating array;Ports relationships Bedfordshire;2023-03-08T22:08:42;2023-03-09T09:43:09;2023-03-09T10:57:18;2023-03-09T11:46:56
3;copying Compatible value-added;overriding Lead;connecting Security intangible;2023-03-08T17:37:15;2023-03-09T12:04:33;2023-03-09T16:23:21;2023-03-08T21:47:07
4;connecting Kentucky holistic;sensor;Berkshire;2023-03-09T02:29:28;2023-03-09T00:35:59;2023-03-09T04:16:19;2023-03-08T22:42:49
5;Fantastic Intranet;Ergonomic Pizza grey;Canadian copy synergies;2023-03-08T18:16:50;2023-03-09T00:27:51;2023-03-09T14:55:53;2023-03-08T23:59:15
6;best-of-breed Village synergize;Soap;Coordinator;2023-03-08T18:27:23;2023-03-08T17:50:28;2023-03-08T18:06:17;2023-03-09T06:53:04
7;Program Mouse Data;experiences Creative hacking;interactive;2023-03-09T15:02:11;2023-03-09T05:58:48;2023-03-09T06:57:10;2023-03-09T03:20:24
8;Hampshire Home;Producer;Cheese up;2023-03-09T06:45:02;2023-03-09T10:14:12;2023-03-09T09:26:08;2023-03-09T12:45:27
9;Down-sized;Chief Frozen;1080p;2023-03-09T16:29:20;2023-03-09T14:04:49;2023-03-08T21:24:44;2023-03-09T05:43:27
10;transmitter;Clothing interface Cambridgeshire;Concrete Manager;2023-03-08T18:51:18;2023-03-09T11:34:51;2023-03-08T18:12:36;2023-03-09T08:18:17
