id;eff_date;created_at;updated_at;end_date;version;attribute_id;rating_attribute_id
1;2023-03-09T00:11:53;2023-03-09T06:23:22;2023-03-09T10:50:15;2023-03-08T17:53:50;26401;1;1
2;2023-03-09T00:43:36;2023-03-09T14:53:45;2023-03-08T19:02:16;2023-03-08T18:49:59;14895;2;2
3;2023-03-09T10:41:08;2023-03-09T08:24:20;2023-03-08T22:53:29;2023-03-08T23:18:07;98127;3;3
4;2023-03-09T05:51:14;2023-03-09T01:47:05;2023-03-09T04:46:57;2023-03-09T13:07:54;54733;4;4
5;2023-03-08T18:02:51;2023-03-09T07:37:15;2023-03-08T22:52:20;2023-03-08T23:29:00;18912;5;5
6;2023-03-09T03:30:16;2023-03-09T16:25:41;2023-03-09T11:08:10;2023-03-09T17:32:34;72635;6;6
7;2023-03-09T09:12:21;2023-03-08T19:50:11;2023-03-09T11:23:13;2023-03-09T02:02:04;70768;7;7
8;2023-03-08T22:46:52;2023-03-08T18:15:11;2023-03-09T12:11:39;2023-03-09T12:10:45;98441;8;8
9;2023-03-09T12:27:35;2023-03-09T09:07:24;2023-03-08T18:46:15;2023-03-08T23:39:08;49535;9;9
10;2023-03-09T00:52:55;2023-03-09T06:34:55;2023-03-09T05:33:39;2023-03-09T10:48:06;72062;10;10
