id;name;eff_date;created_at;updated_at;end_date;version
1;New back-end;2023-03-09T05:55:21;2023-03-09T02:43:40;2023-03-09T05:34:23;2023-03-08T23:07:41;9430
2;SMS gold Beauty;2023-03-09T01:43:27;2023-03-08T17:55:28;2023-03-09T05:41:36;2023-03-09T12:41:35;96471
3;override channels;2023-03-09T05:57:53;2023-03-09T13:23:40;2023-03-09T07:08:46;2023-03-09T13:50:44;88440
4;client-server wireless quantify;2023-03-09T11:28:58;2023-03-09T08:37:45;2023-03-08T23:33:43;2023-03-09T02:33:39;82285
5;Investment;2023-03-09T05:00:04;2023-03-09T11:07:09;2023-03-09T00:23:45;2023-03-09T10:53:00;98712
6;IB Strategist Rapids;2023-03-08T23:57:09;2023-03-08T23:39:05;2023-03-08T17:56:11;2023-03-08T20:24:48;89001
7;magnetic;2023-03-09T16:03:17;2023-03-09T02:16:11;2023-03-08T22:07:36;2023-03-08T22:44:54;43134
8;hardware reboot;2023-03-08T18:32:16;2023-03-09T06:31:21;2023-03-08T22:55:24;2023-03-08T17:47:10;63032
9;systems lavender Guatemala;2023-03-09T08:00:32;2023-03-08T23:51:27;2023-03-09T00:10:00;2023-03-09T04:20:47;74203
10;SQL Total;2023-03-09T05:34:33;2023-03-09T11:07:14;2023-03-08T20:09:22;2023-03-09T01:45:11;77336
