id;name;description;jhi_from;jhi_to;eff_date;created_at;updated_at;end_date;version
1;groupware;Kentucky Account;57582;53257;2023-03-09T07:05:36;2023-03-08T21:33:14;2023-03-08T18:38:20;2023-03-09T12:42:44;84067
2;eyeballs Hampshire;innovate Global;83210;91301;2023-03-09T11:03:33;2023-03-09T13:08:18;2023-03-09T00:31:40;2023-03-09T00:45:56;78759
3;bypass Investor Chair;online payment;11923;9056;2023-03-09T15:39:44;2023-03-08T22:02:56;2023-03-09T13:52:47;2023-03-09T00:05:18;59364
4;Account invoice matrix;Kyrgyz National Towels;37003;74246;2023-03-09T00:10:03;2023-03-08T19:24:01;2023-03-09T15:37:43;2023-03-08T20:18:54;50104
5;SSL Orchestrator;virtual clear-thinking;51001;92236;2023-03-09T08:21:50;2023-03-09T06:42:02;2023-03-08T22:41:54;2023-03-08T22:08:47;44445
6;Washington;Lari input;39008;38666;2023-03-09T01:13:03;2023-03-09T09:06:20;2023-03-08T21:37:22;2023-03-09T17:31:50;17168
7;Functionality International;driver infrastructures;68357;40591;2023-03-08T19:40:26;2023-03-09T07:20:32;2023-03-09T06:01:04;2023-03-09T00:40:10;20734
8;SAS wireless;bypassing;37645;41323;2023-03-09T16:42:47;2023-03-09T14:02:31;2023-03-09T07:49:31;2023-03-09T08:59:31;25277
9;Fields Vermont input;index transmitting;24160;67155;2023-03-09T08:30:25;2023-03-09T00:52:29;2023-03-09T06:36:49;2023-03-09T17:11:59;75901
10;Research;yellow interface;12894;60073;2023-03-09T15:21:39;2023-03-09T00:07:07;2023-03-08T18:55:55;2023-03-09T05:35:15;32647
