id;name;isdefault;createdat;updatedat
1;feed adapter;true;2023-03-08T23:31:05;2023-03-08T22:28:46
2;Bedfordshire;false;2023-03-09T15:11:48;2023-03-09T05:06:44
3;eco-centric Sleek User-friendly;false;2023-03-09T14:51:53;2023-03-08T21:04:00
4;Awesome Factors;false;2023-03-09T17:23:46;2023-03-09T11:07:56
5;Interactions interfaces payment;false;2023-03-09T07:01:26;2023-03-09T14:28:26
6;Sleek Cambridgeshire Cotton;false;2023-03-09T10:03:01;2023-03-09T09:09:40
7;RAM Gibraltar;false;2023-03-09T15:14:21;2023-03-09T06:10:40
8;neural-net optical Granite;true;2023-03-09T13:40:12;2023-03-09T09:17:29
9;Open-source Kip Rupee;true;2023-03-09T17:14:59;2023-03-09T04:57:56
10;olive bluetooth;false;2023-03-09T10:37:42;2023-03-08T18:54:12
