id;role;createdat;updatedat
1;CSS AI;2023-03-08T21:05:18;2023-03-09T16:55:41
2;pixel program;2023-03-09T04:50:13;2023-03-09T01:02:43
3;PCI;2023-03-09T13:03:29;2023-03-08T18:00:49
4;Rubber Balboa;2023-03-08T23:47:50;2023-03-09T10:31:51
5;frictionless;2023-03-09T05:57:05;2023-03-09T04:47:48
6;systems pink;2023-03-09T15:57:29;2023-03-09T11:24:46
7;system payment grid-enabled;2023-03-09T14:05:13;2023-03-09T04:25:00
8;Automotive Mountains;2023-03-09T12:25:12;2023-03-09T04:53:59
9;Colorado;2023-03-09T17:22:49;2023-03-09T13:33:24
10;Focused;2023-03-09T14:57:23;2023-03-09T05:47:19
