id;eff_date;created_at;updated_at;end_date;version;attribute_id;leave_approval_criteria_id
1;2023-03-09T16:28:15;2023-03-09T13:45:35;2023-03-08T18:38:35;2023-03-09T14:43:13;6266;1;1
2;2023-03-09T07:28:29;2023-03-09T07:15:20;2023-03-08T20:59:52;2023-03-09T01:16:41;55903;2;2
3;2023-03-09T15:11:07;2023-03-08T21:27:25;2023-03-09T13:44:59;2023-03-09T11:52:00;5708;3;3
4;2023-03-09T16:39:04;2023-03-09T11:32:50;2023-03-09T01:37:36;2023-03-09T11:11:30;30034;4;4
5;2023-03-08T23:48:41;2023-03-09T00:15:51;2023-03-09T09:32:47;2023-03-08T21:10:07;17654;5;5
6;2023-03-09T01:29:52;2023-03-08T23:01:00;2023-03-09T16:31:55;2023-03-08T21:49:50;31903;6;6
7;2023-03-08T19:58:59;2023-03-09T13:12:24;2023-03-08T21:59:46;2023-03-09T05:08:38;29140;7;7
8;2023-03-09T03:03:13;2023-03-09T01:52:04;2023-03-08T20:05:25;2023-03-08T19:44:36;94560;8;8
9;2023-03-09T14:58:54;2023-03-09T10:15:31;2023-03-09T02:28:57;2023-03-08T20:52:07;64124;9;9
10;2023-03-09T08:05:39;2023-03-09T16:10:13;2023-03-09T15:24:20;2023-03-09T02:10:21;56354;10;10
