id;leave_escalation_criteria_id;no_of_days;eff_date;created_at;updated_at;end_date;version;attribute_id;approver_status_id
1;87501;78432;2023-03-09T03:37:18;2023-03-09T06:40:17;2023-03-09T03:03:31;2023-03-09T10:20:01;42112;1;1
2;91794;14249;2023-03-09T15:38:03;2023-03-08T20:35:32;2023-03-09T12:02:04;2023-03-09T10:32:34;27762;2;2
3;65706;57313;2023-03-08T23:59:02;2023-03-09T04:31:52;2023-03-09T17:25:43;2023-03-09T00:10:06;91762;3;3
4;76008;97661;2023-03-09T13:25:52;2023-03-09T08:53:35;2023-03-08T22:30:57;2023-03-09T11:20:44;17219;4;4
5;34534;24770;2023-03-08T18:52:17;2023-03-09T05:35:27;2023-03-09T15:28:32;2023-03-09T03:48:29;91291;5;5
6;63389;64284;2023-03-08T17:40:13;2023-03-09T05:04:34;2023-03-09T09:58:41;2023-03-09T00:29:41;59785;6;6
7;22114;48148;2023-03-09T06:56:28;2023-03-09T14:00:05;2023-03-09T11:20:31;2023-03-09T04:41:44;88357;7;7
8;85566;76809;2023-03-09T12:48:39;2023-03-09T12:40:18;2023-03-09T08:04:32;2023-03-09T11:07:25;48505;8;8
9;46795;43801;2023-03-09T17:15:43;2023-03-09T06:33:46;2023-03-09T05:50:41;2023-03-09T07:20:41;13134;9;9
10;75725;59078;2023-03-09T10:43:40;2023-03-08T18:23:58;2023-03-09T05:11:07;2023-03-09T09:48:57;47627;10;10
