id;created_at;updated_at;version;end_date;eff_date;attribute_id;user_id
1;2023-03-09T08:57:40;2023-03-09T14:06:07;97708;2023-03-09T00:46:43;2023-03-09T07:03:14;1;1
2;2023-03-09T02:41:16;2023-03-09T02:26:23;51923;2023-03-08T20:08:12;2023-03-08T23:30:19;2;2
3;2023-03-09T06:03:54;2023-03-09T01:17:16;65574;2023-03-08T20:03:49;2023-03-09T06:55:06;3;3
4;2023-03-09T15:05:16;2023-03-08T23:30:48;78730;2023-03-09T15:24:24;2023-03-08T21:14:32;4;4
5;2023-03-09T03:22:55;2023-03-09T08:32:30;70140;2023-03-09T14:26:31;2023-03-09T03:44:23;5;5
6;2023-03-08T22:06:38;2023-03-09T14:36:48;46760;2023-03-09T06:51:23;2023-03-09T14:53:30;6;6
7;2023-03-09T17:06:21;2023-03-09T12:29:45;15427;2023-03-08T19:15:12;2023-03-09T02:52:56;7;7
8;2023-03-09T16:42:58;2023-03-09T01:26:06;60957;2023-03-08T21:20:18;2023-03-09T07:13:47;8;8
9;2023-03-08T18:30:01;2023-03-09T03:00:44;3018;2023-03-09T01:42:03;2023-03-09T11:58:01;9;9
10;2023-03-09T12:30:56;2023-03-08T21:26:52;6772;2023-03-09T16:59:15;2023-03-09T05:14:55;10;10
