id;is_promotion;strength;area_of_improvement;promotion_justification;new_grade;is_redesignation;recommended_salary;status;created_at;updated_at;deleted_at;version;other_comments;rater_id;pc_employee_rating_id
1;false;full-range SMS;e-tailers Arkansas;Avon content-based Chicken;open-source generate deposit;false;37941;Bedfordsh;2023-03-09T15:08:37;2023-03-09T05:15:03;2023-03-09T16:32:07;68936;interface virtual parsing;1;1
2;false;Concrete;cyan tan contingency;Berkshire Monitored digital;North Lead;false;23410;Cape;2023-03-09T12:12:35;2023-03-08T22:39:29;2023-03-09T07:31:45;1320;redundant platforms Security;2;2
3;false;quantify B2C bypass;Savings Regional;Agent expedite Frozen;New Customer Applications;false;14412;Fresh Rus;2023-03-09T00:40:28;2023-03-09T12:31:21;2023-03-09T01:58:26;18303;Coves;3;3
4;true;killer plum Steel;Cotton Checking;User Bedfordshire Sleek;Cross-platform Metal Awesome;true;90209;productiz;2023-03-08T19:47:35;2023-03-09T17:18:48;2023-03-08T21:29:59;34480;Fish;4;4
5;false;invoice;maximize Birr Greens;Account Cambridgeshire Alabama;leverage Loan;false;51472;world-cla;2023-03-09T14:24:19;2023-03-09T06:26:50;2023-03-09T10:12:13;18060;synergistic maximize Tasty;5;5
6;false;Web;Plastic purple mobile;Legacy reintermediate;partnerships Facilitator;false;87527;primary J;2023-03-08T23:48:31;2023-03-09T14:33:26;2023-03-09T03:54:38;72982;North Avon orange;6;6
7;true;next-generation Pants Rubber;core Dakota;transmitter;Uganda Account;false;30723;Synchroni;2023-03-09T15:59:38;2023-03-09T02:28:40;2023-03-09T08:26:32;75108;redundant Kwacha;7;7
8;false;programming Buckinghamshire;Organized Investor;metrics cultivate;Metal implement Bedfordshire;true;51830;Global Pe;2023-03-08T23:37:48;2023-03-09T03:29:01;2023-03-08T21:38:36;31537;Shoes;8;8
9;false;Bedfordshire alarm;hierarchy;methodologies;Plastic Practical;true;21507;Throughwa;2023-03-09T00:56:16;2023-03-09T13:31:23;2023-03-09T02:15:22;4250;Route;9;9
10;false;withdrawal;UIC-Franc Towels Coordinator;Mill Metal;function Assistant;true;42656;Intranet ;2023-03-09T01:08:54;2023-03-08T20:16:48;2023-03-09T06:14:45;36033;Steel Peso;10;10
