id;eff_date;created_at;updated_at;end_date;version;attribute_id;leave_approval_criteria_id
1;2023-03-09T06:14:23;2023-03-09T12:28:07;2023-03-09T12:48:12;2023-03-09T11:17:53;92004;1;1
2;2023-03-09T08:15:19;2023-03-09T00:49:23;2023-03-08T22:02:28;2023-03-08T17:47:18;76578;2;2
3;2023-03-09T02:01:06;2023-03-08T20:49:04;2023-03-09T15:35:07;2023-03-08T20:53:04;12614;3;3
4;2023-03-09T08:35:52;2023-03-09T10:07:47;2023-03-09T16:41:28;2023-03-08T18:43:45;85499;4;4
5;2023-03-09T03:03:57;2023-03-08T22:45:15;2023-03-08T21:48:34;2023-03-08T23:28:11;86173;5;5
6;2023-03-08T19:59:52;2023-03-08T22:32:01;2023-03-09T08:12:30;2023-03-08T22:18:02;92447;6;6
7;2023-03-09T12:28:52;2023-03-09T09:44:53;2023-03-09T06:42:24;2023-03-09T03:59:05;69975;7;7
8;2023-03-09T04:40:28;2023-03-09T12:31:16;2023-03-09T01:56:26;2023-03-08T20:48:28;66595;8;8
9;2023-03-09T05:12:37;2023-03-09T15:08:07;2023-03-09T11:36:04;2023-03-09T08:41:22;15237;9;9
10;2023-03-08T19:23:15;2023-03-09T01:17:38;2023-03-08T18:14:21;2023-03-09T17:00:25;63334;10;10
