id;reference_type;reference_id;eff_date;created_at;updated_at;end_date;version;user_id;attribute_id
1;blue re;96041;2023-03-09T05:09:36;2023-03-09T15:11:35;2023-03-09T16:08:21;2023-03-09T15:49:28;26121;1;1
2;Lakes O;99321;2023-03-08T19:07:30;2023-03-09T15:30:26;2023-03-09T00:56:50;2023-03-09T14:36:33;28885;2;2
3;cyan;65031;2023-03-09T12:35:12;2023-03-08T22:45:13;2023-03-09T12:58:28;2023-03-09T13:05:24;45291;3;3
4;haptic ;99406;2023-03-09T05:32:51;2023-03-09T03:24:51;2023-03-09T14:50:38;2023-03-09T07:09:53;50691;4;4
5;invoice;29933;2023-03-09T16:33:38;2023-03-08T23:42:54;2023-03-08T19:21:25;2023-03-09T16:29:05;28158;5;5
6;core;35846;2023-03-09T04:07:41;2023-03-09T14:00:01;2023-03-08T23:26:52;2023-03-09T01:16:23;63347;6;6
7;Frozen ;90669;2023-03-09T09:33:40;2023-03-09T13:21:05;2023-03-08T18:47:25;2023-03-08T21:08:19;46544;7;7
8;deposit;73691;2023-03-09T09:32:23;2023-03-09T10:37:01;2023-03-09T05:39:25;2023-03-09T00:24:40;56236;8;8
9;visiona;97926;2023-03-09T16:54:46;2023-03-09T06:44:10;2023-03-08T21:12:40;2023-03-09T05:27:16;54997;9;9
10;Marino ;22754;2023-03-09T01:25:57;2023-03-08T18:12:49;2023-03-09T17:31:47;2023-03-09T08:33:09;86942;10;10
