id;percentage;hours;createdat;updatedat
1;Concrete;3047;2023-03-08T22:37:25;2023-03-08T22:08:40
2;Colombia web-readiness Handmade;430;2023-03-09T02:32:37;2023-03-08T19:12:29
3;Account Rubber transmit;37126;2023-03-09T05:49:21;2023-03-09T08:12:33
4;service-desk Coordinator;39335;2023-03-09T01:50:39;2023-03-09T11:03:27
5;Personal;63540;2023-03-08T19:37:15;2023-03-08T22:49:47
6;infomediaries;31450;2023-03-09T01:29:42;2023-03-08T19:04:31
7;productize support Kansas;6559;2023-03-09T02:57:00;2023-03-08T22:15:36
8;Plastic;65162;2023-03-08T23:48:15;2023-03-09T13:17:29
9;transmit Borders;66329;2023-03-09T01:01:26;2023-03-09T04:48:53
10;Tools;41632;2023-03-09T08:31:41;2023-03-08T20:34:41
